datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-31 14:49:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 14:51:00+00:00,,21,85,0,,,,1,21,1,99,99,85,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 14:52:00+00:00,,25,85,0,,,,21,25,21,85,85,85,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 15:34:00+00:00,,38,42,0,,,,25,38,25,85,85,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 15:58:00+00:00,,38,42,0,,,,38,38,38,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 16:09:00+00:00,,38,42,0,,,,38,38,38,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 17:39:00+00:00,,38,42,0,,,,38,38,38,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 18:50:00+00:00,,39,42,0,,,,38,39,38,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 19:02:00+00:00,42.0,39,42,36,42.0,42.0,42.0,39,39,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 19:09:00+00:00,,39,42,0,,,,39,39,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 19:11:00+00:00,,39,42,0,,,,39,39,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 19:37:00+00:00,42.0,39,42,22,42.0,42.0,42.0,39,39,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 20:24:00+00:00,,39,42,0,,,,39,39,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 20:29:00+00:00,42.0,39,42,686,42.0,42.0,42.0,39,39,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 20:36:00+00:00,,40,42,0,,,,39,40,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 20:40:00+00:00,,40,42,0,,,,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 20:50:00+00:00,42.0,40,42,40,42.0,42.0,42.0,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 20:51:00+00:00,,40,42,0,,,,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 20:53:00+00:00,42.0,40,42,30,42.0,42.0,42.0,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 20:54:00+00:00,,40,42,0,,,,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 21:01:00+00:00,,40,42,0,,,,40,40,40,42,43,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 21:37:00+00:00,42.0,40,42,2273,42.0,42.0,42.0,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 21:41:00+00:00,,40,42,0,,,,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 21:42:00+00:00,42.0,40,42,5,42.0,42.0,42.0,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 21:44:00+00:00,42.0,40,42,100,42.0,42.0,42.0,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 21:46:00+00:00,,40,42,0,,,,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 21:49:00+00:00,42.0,40,42,68,42.0,42.0,42.0,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 21:54:00+00:00,42.0,40,42,3,42.0,42.0,42.0,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 21:56:00+00:00,42.0,40,42,15,42.0,42.0,42.0,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 22:02:00+00:00,42.0,40,42,200,42.0,42.0,42.0,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 22:04:00+00:00,42.0,40,42,10,42.0,42.0,42.0,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 22:11:00+00:00,,40,42,0,,,,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 22:12:00+00:00,,40,42,0,,,,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 22:17:00+00:00,42.0,40,42,19,42.0,42.0,42.0,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 22:45:00+00:00,42.0,40,42,22,42.0,42.0,42.0,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 23:02:00+00:00,,40,42,0,,,,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 23:35:00+00:00,,40,42,0,,,,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 23:39:00+00:00,42.0,40,42,10,42.0,42.0,42.0,40,40,40,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 23:46:00+00:00,40.0,40,42,212,42.0,42.0,40.0,40,40,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 23:47:00+00:00,42.0,39,42,10,42.0,42.0,42.0,40,40,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 23:48:00+00:00,,39,42,0,,,,39,40,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 23:49:00+00:00,,39,42,0,,,,39,39,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 23:50:00+00:00,,39,42,0,,,,39,39,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 23:51:00+00:00,,39,42,0,,,,39,39,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 23:52:00+00:00,,39,42,0,,,,39,39,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 23:53:00+00:00,,39,42,0,,,,39,39,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 23:54:00+00:00,,39,42,0,,,,39,39,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 23:55:00+00:00,,39,42,0,,,,39,39,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 23:56:00+00:00,,39,42,0,,,,39,39,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 23:57:00+00:00,,39,42,0,,,,39,39,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 23:58:00+00:00,,39,42,0,,,,39,39,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-10-31 23:59:00+00:00,,39,42,0,,,,39,39,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-11-01 00:00:00+00:00,,39,42,0,,,,39,39,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-11-01 00:01:00+00:00,,39,42,0,,,,39,39,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-11-01 00:02:00+00:00,,39,42,0,,,,39,39,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
2025-11-01 00:03:00+00:00,,39,42,0,,,,39,39,39,42,42,42,,KXNFLGAME-25NOV10PHIGB-PHI
