datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-09-27 03:22:00+00:00,,3,97,0,,,,0,3,0,99,99,97,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 03:39:00+00:00,44.0,38,44,10,44.0,44.0,44.0,3,38,3,97,97,44,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 03:40:00+00:00,44.0,44,45,874,44.0,44.0,44.0,38,44,3,44,97,44,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 03:41:00+00:00,45.0,44,46,1427,45.0,45.0,45.0,44,44,44,45,97,45,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 03:42:00+00:00,,44,46,0,,,,44,44,44,46,46,46,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 03:43:00+00:00,49.0,44,49,2541,46.0,49.0,46.0,44,44,44,46,97,46,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 03:44:00+00:00,53.0,48,54,2297,49.0,53.0,49.0,44,48,3,49,97,49,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 03:45:00+00:00,54.0,3,58,333,54.0,54.0,54.0,48,48,3,54,97,54,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 03:46:00+00:00,,3,57,0,,,,3,3,3,58,97,57,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 03:47:00+00:00,,3,57,0,,,,3,3,3,57,57,57,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 03:48:00+00:00,,3,57,0,,,,3,3,3,57,57,57,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 03:49:00+00:00,,3,57,0,,,,3,3,3,57,57,57,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 03:50:00+00:00,,3,57,0,,,,3,3,3,57,57,57,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 03:51:00+00:00,57.0,56,57,50,57.0,57.0,57.0,3,56,3,57,57,57,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 03:52:00+00:00,,56,57,0,,,,56,56,56,57,57,57,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 03:53:00+00:00,,56,57,0,,,,56,56,56,57,57,57,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 03:54:00+00:00,,56,57,0,,,,56,56,56,57,57,57,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 03:55:00+00:00,,56,57,0,,,,56,56,56,57,57,57,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 03:56:00+00:00,,56,57,0,,,,56,56,56,57,57,57,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 03:57:00+00:00,,56,57,0,,,,56,56,56,57,57,57,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 03:58:00+00:00,,56,57,0,,,,56,56,56,57,57,57,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 03:59:00+00:00,,56,57,0,,,,56,56,56,57,57,57,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:00:00+00:00,,56,58,0,,,,56,56,56,57,61,57,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:01:00+00:00,,56,58,0,,,,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:02:00+00:00,,56,61,0,,,,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:03:00+00:00,,56,58,0,,,,56,56,56,61,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:04:00+00:00,,56,58,0,,,,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:05:00+00:00,,56,58,0,,,,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:06:00+00:00,,56,58,0,,,,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:07:00+00:00,,56,58,0,,,,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:08:00+00:00,,56,58,0,,,,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:09:00+00:00,,56,58,0,,,,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:10:00+00:00,,56,58,0,,,,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:11:00+00:00,,56,58,0,,,,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:12:00+00:00,,56,58,0,,,,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:13:00+00:00,,56,61,0,,,,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:14:00+00:00,,56,58,0,,,,56,56,56,61,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:15:00+00:00,,56,58,0,,,,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:16:00+00:00,,56,58,0,,,,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:17:00+00:00,,56,58,0,,,,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:18:00+00:00,,56,58,0,,,,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:19:00+00:00,,56,61,0,,,,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:20:00+00:00,,56,58,0,,,,56,56,56,61,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:21:00+00:00,,56,58,0,,,,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:22:00+00:00,,56,58,0,,,,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:23:00+00:00,,56,58,0,,,,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:24:00+00:00,,56,58,0,,,,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:25:00+00:00,58.0,56,61,10,58.0,58.0,58.0,56,56,56,58,61,58,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:27:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:37:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:40:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:41:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:43:00+00:00,56.0,56,61,461,61.0,61.0,56.0,56,56,56,61,61,61,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 04:45:00+00:00,56.0,56,61,34,56.0,56.0,56.0,56,56,56,61,61,61,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 05:03:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 05:08:00+00:00,,56,61,0,,,,56,56,56,61,61,60,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 05:17:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 05:18:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 05:29:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 05:48:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 05:49:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 05:58:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 05:59:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 06:21:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 06:32:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 06:43:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 06:45:00+00:00,,56,62,0,,,,56,56,56,61,62,61,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 07:14:00+00:00,,56,62,0,,,,56,56,56,62,62,62,,KXNFLGAME-25OCT02SFLA-LA
2025-09-27 07:20:00+00:00,,56,62,0,,,,56,56,56,62,62,62,,KXNFLGAME-25OCT02SFLA-LA
