datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-09-27 03:22:00+00:00,,3,97,0,,,,0,3,0,99,99,97,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 03:39:00+00:00,56.0,56,62,10,56.0,56.0,56.0,3,56,3,97,97,62,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 03:40:00+00:00,,55,60,0,,,,56,56,3,62,97,60,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 03:41:00+00:00,,54,60,0,,,,55,55,3,60,97,60,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 03:42:00+00:00,,54,60,0,,,,54,54,54,60,60,60,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 03:43:00+00:00,,51,57,0,,,,54,54,3,60,97,57,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 03:44:00+00:00,,46,52,0,,,,51,51,3,57,97,52,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 03:45:00+00:00,,42,97,0,,,,46,46,3,52,97,52,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 03:46:00+00:00,,42,97,0,,,,42,42,3,97,97,97,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 03:47:00+00:00,,3,97,0,,,,42,42,3,97,97,97,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 03:48:00+00:00,,42,97,0,,,,3,42,3,97,97,97,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 03:49:00+00:00,,42,97,0,,,,42,42,3,97,97,97,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 03:50:00+00:00,,42,97,0,,,,42,42,3,97,97,97,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 03:51:00+00:00,,38,44,0,,,,42,42,3,97,97,44,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 03:52:00+00:00,,42,44,0,,,,38,42,38,44,44,44,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 03:53:00+00:00,,42,43,0,,,,42,42,38,44,44,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 03:54:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 03:55:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 03:56:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 03:57:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 03:58:00+00:00,,38,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 03:59:00+00:00,,38,43,0,,,,38,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:00:00+00:00,,42,43,0,,,,38,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:01:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:02:00+00:00,,38,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:03:00+00:00,,42,43,0,,,,38,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:04:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:05:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:06:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:07:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:08:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:09:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:10:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:11:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:12:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:13:00+00:00,,38,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:14:00+00:00,,42,43,0,,,,38,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:15:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:16:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:17:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:18:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:19:00+00:00,,38,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:20:00+00:00,,42,43,0,,,,38,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:21:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:22:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:23:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:24:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:25:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:26:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:27:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:28:00+00:00,,38,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:29:00+00:00,,38,43,0,,,,38,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:30:00+00:00,,42,43,0,,,,38,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:31:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:32:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:33:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:34:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:35:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:36:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:37:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:38:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:39:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:40:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:41:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:42:00+00:00,,42,43,0,,,,42,42,38,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:43:00+00:00,42.0,38,41,10,42.0,42.0,42.0,42,42,38,43,43,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 04:45:00+00:00,,38,41,0,,,,38,38,38,41,41,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 05:03:00+00:00,,38,41,0,,,,38,38,38,41,41,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 05:17:00+00:00,,38,41,0,,,,38,38,38,41,41,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 05:18:00+00:00,,38,41,0,,,,38,38,38,41,41,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 05:29:00+00:00,,38,41,0,,,,38,38,38,41,41,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 05:48:00+00:00,,38,41,0,,,,38,38,38,41,41,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 05:49:00+00:00,,38,41,0,,,,38,38,38,41,41,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 05:58:00+00:00,,38,41,0,,,,38,38,38,41,41,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 05:59:00+00:00,,38,41,0,,,,38,38,38,41,41,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 06:21:00+00:00,,38,41,0,,,,38,38,38,41,41,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 06:32:00+00:00,,38,41,0,,,,38,38,38,41,41,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 06:43:00+00:00,,38,41,0,,,,38,38,38,41,41,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 06:45:00+00:00,,38,41,0,,,,38,38,38,41,41,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 07:13:00+00:00,,38,41,0,,,,38,38,38,41,41,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 07:19:00+00:00,41.0,38,41,10,41.0,41.0,41.0,38,38,38,41,41,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 07:46:00+00:00,,38,41,0,,,,38,38,38,41,41,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 07:57:00+00:00,,38,41,0,,,,38,38,38,41,41,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 07:59:00+00:00,44.0,38,44,22,41.0,44.0,41.0,38,38,38,41,44,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 09:00:00+00:00,,38,44,0,,,,38,38,38,44,44,44,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 09:12:00+00:00,,38,44,0,,,,38,38,38,44,44,44,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 10:15:00+00:00,,38,44,0,,,,38,38,38,44,44,44,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 10:27:00+00:00,,38,44,0,,,,38,38,38,44,44,44,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 10:49:00+00:00,,38,44,0,,,,38,38,38,44,44,44,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 11:30:00+00:00,,38,44,0,,,,38,38,38,44,44,44,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 11:35:00+00:00,,39,43,0,,,,38,39,38,44,44,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 11:42:00+00:00,,39,43,0,,,,39,39,39,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 12:00:00+00:00,,39,43,0,,,,39,39,39,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 12:20:00+00:00,,39,43,0,,,,39,39,39,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 12:24:00+00:00,,39,43,0,,,,39,39,39,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 12:36:00+00:00,,39,43,0,,,,39,39,39,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 12:41:00+00:00,,39,43,0,,,,39,39,39,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 12:43:00+00:00,,39,43,0,,,,39,39,39,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 12:45:00+00:00,,39,43,0,,,,39,39,39,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 12:58:00+00:00,,39,43,0,,,,39,39,39,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 13:07:00+00:00,,39,43,0,,,,39,39,39,43,43,43,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 13:09:00+00:00,,40,41,0,,,,39,40,39,43,43,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 13:12:00+00:00,,40,41,0,,,,40,40,40,41,41,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 13:37:00+00:00,41.0,40,41,11,41.0,41.0,41.0,40,40,40,41,41,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 13:38:00+00:00,,40,41,0,,,,40,40,40,41,41,41,,KXNFLGAME-25OCT02SFLA-SF
2025-09-27 14:01:00+00:00,,40,41,0,,,,40,40,40,41,41,41,,KXNFLGAME-25OCT02SFLA-SF
