datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-09-27 03:19:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 03:21:00+00:00,,3,97,0,,,,1,3,1,99,99,97,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 03:30:00+00:00,,15,19,0,,,,3,15,3,97,97,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 03:54:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 04:15:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 05:18:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 05:29:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 06:32:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 06:43:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 06:45:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 07:46:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 07:57:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 09:00:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 09:12:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 10:15:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 10:27:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 11:30:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 11:42:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 12:00:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 12:20:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 12:36:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 12:41:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 12:45:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 12:58:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 13:11:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 13:49:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 14:01:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 14:13:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 14:16:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 14:23:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 15:01:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 15:15:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 15:16:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 15:30:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 16:01:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 16:33:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 16:46:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 16:51:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 17:41:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 17:49:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 18:02:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 18:30:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 18:39:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 18:43:00+00:00,19.0,15,19,100,19.0,19.0,19.0,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 18:44:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 19:05:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 19:18:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 19:34:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 19:58:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 20:21:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 20:31:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 20:39:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 20:41:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 20:52:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 20:57:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 20:58:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 21:06:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 21:15:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 21:23:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 21:27:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 21:38:00+00:00,19.0,15,19,99,19.0,19.0,19.0,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 21:42:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 21:54:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 22:00:00+00:00,19.0,15,19,10,19.0,19.0,19.0,15,15,15,19,20,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 22:25:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 22:44:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 22:52:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 23:03:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 23:12:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 23:21:00+00:00,,15,19,0,,,,15,15,15,19,19,19,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 23:24:00+00:00,,15,18,0,,,,15,15,15,19,19,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 23:40:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 23:46:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-27 23:53:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 00:13:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 00:15:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 00:16:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 00:24:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 00:35:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 00:42:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 01:02:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 01:27:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 01:31:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 01:32:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 01:33:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 01:40:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 01:45:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 02:03:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 02:10:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 02:13:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 02:30:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 02:51:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 02:53:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 02:58:00+00:00,,16,18,0,,,,15,16,4,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 03:02:00+00:00,,16,18,0,,,,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 03:06:00+00:00,,16,18,0,,,,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 03:19:00+00:00,,16,18,0,,,,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 03:25:00+00:00,,16,18,0,,,,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 03:26:00+00:00,,16,18,0,,,,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 03:36:00+00:00,,16,18,0,,,,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 03:54:00+00:00,,16,18,0,,,,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 04:14:00+00:00,18.0,16,18,15,18.0,18.0,18.0,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 04:28:00+00:00,,16,18,0,,,,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 04:46:00+00:00,,16,18,0,,,,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 04:56:00+00:00,,16,18,0,,,,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 05:09:00+00:00,,16,18,0,,,,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 05:10:00+00:00,18.0,16,18,1,18.0,18.0,18.0,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 05:12:00+00:00,,16,18,0,,,,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 05:13:00+00:00,,16,18,0,,,,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 05:19:00+00:00,18.0,16,18,10,18.0,18.0,18.0,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 05:40:00+00:00,,16,18,0,,,,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 05:48:00+00:00,18.0,16,18,100,18.0,18.0,18.0,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 05:49:00+00:00,,16,18,0,,,,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 06:08:00+00:00,,16,18,0,,,,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 06:11:00+00:00,18.0,16,18,26,18.0,18.0,18.0,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 06:48:00+00:00,,16,18,0,,,,16,16,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 07:11:00+00:00,,17,18,0,,,,16,17,16,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 07:23:00+00:00,,17,18,0,,,,17,17,17,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 07:25:00+00:00,,17,18,0,,,,17,17,17,18,18,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 07:27:00+00:00,,16,20,0,,,,17,17,16,18,20,18,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 07:30:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 07:56:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 08:12:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 08:29:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 08:33:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 08:44:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 08:52:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 09:01:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 09:34:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 09:55:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 10:06:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 10:15:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 10:36:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 10:38:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 11:10:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 11:18:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 11:37:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 11:42:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 12:03:00+00:00,,4,20,0,,,,16,16,4,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 12:04:00+00:00,,16,20,0,,,,4,16,4,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 12:11:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 12:16:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 12:40:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 12:43:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 12:51:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 12:52:00+00:00,,17,20,0,,,,16,17,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 12:56:00+00:00,,17,20,0,,,,17,17,17,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 12:59:00+00:00,,17,20,0,,,,17,17,17,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 13:05:00+00:00,,17,20,0,,,,17,17,17,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 13:14:00+00:00,,16,20,0,,,,17,17,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
2025-09-28 13:15:00+00:00,,16,20,0,,,,16,16,16,20,20,20,,KXNFLGAME-25OCT05NEBUF-NE
