datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-03 04:36:00+00:00,,33,97,0,,,,0,33,0,99,99,97,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 04:37:00+00:00,33.0,33,97,8,33.0,33.0,33.0,33,33,33,97,97,97,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 04:45:00+00:00,,33,42,0,,,,33,33,33,97,97,42,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 04:47:00+00:00,,33,42,0,,,,33,33,33,42,42,42,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 05:12:00+00:00,42.0,33,42,13,42.0,42.0,42.0,33,33,33,42,42,42,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 05:50:00+00:00,,33,42,0,,,,33,33,33,42,42,42,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 06:02:00+00:00,,33,41,0,,,,33,33,33,42,42,41,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 06:10:00+00:00,,33,41,0,,,,33,33,33,41,41,41,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 06:46:00+00:00,33.0,21,24,1,33.0,33.0,33.0,33,33,21,41,41,24,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 06:47:00+00:00,,21,24,0,,,,21,21,21,24,24,24,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 06:58:00+00:00,,5,32,0,,,,21,21,5,24,33,24,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 07:07:00+00:00,,5,33,0,,,,5,5,5,32,33,32,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 07:13:00+00:00,,4,33,0,,,,5,5,4,33,33,33,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 07:51:00+00:00,33.0,33,95,1,33.0,33.0,33.0,4,33,4,33,96,33,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 08:16:00+00:00,,33,96,0,,,,33,33,33,95,97,95,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 08:24:00+00:00,,33,96,0,,,,33,33,33,96,97,96,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 09:12:00+00:00,,33,97,0,,,,33,33,33,96,97,96,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 09:13:00+00:00,,33,96,0,,,,33,33,33,97,97,96,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 09:19:00+00:00,,33,96,0,,,,33,33,33,96,97,96,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 09:28:00+00:00,,33,96,0,,,,33,33,33,96,97,96,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 09:43:00+00:00,,33,96,0,,,,33,33,33,96,97,96,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 10:22:00+00:00,,33,96,0,,,,33,33,33,96,97,96,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 11:25:00+00:00,,33,96,0,,,,33,33,33,96,97,96,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 11:46:00+00:00,,33,97,0,,,,33,33,33,96,97,96,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 11:47:00+00:00,33.0,33,97,20,33.0,33.0,33.0,33,33,33,97,97,97,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 11:48:00+00:00,33.0,33,97,10,33.0,33.0,33.0,33,33,33,97,97,97,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 12:09:00+00:00,23.0,22,23,22,33.0,33.0,23.0,33,33,22,97,97,23,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 12:10:00+00:00,23.0,22,23,25,23.0,23.0,23.0,22,22,22,23,97,23,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 12:11:00+00:00,23.0,22,23,10,23.0,23.0,23.0,22,22,22,23,97,23,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 12:28:00+00:00,,22,23,0,,,,22,22,22,23,23,23,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 12:36:00+00:00,,22,23,0,,,,22,22,22,23,23,23,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 12:43:00+00:00,,22,23,0,,,,22,22,22,23,23,23,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 13:01:00+00:00,23.0,22,23,20,23.0,23.0,23.0,22,22,22,23,23,23,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 13:04:00+00:00,,22,23,0,,,,22,22,22,23,23,23,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 13:24:00+00:00,,22,23,0,,,,22,22,22,23,23,23,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 13:31:00+00:00,,22,23,0,,,,22,22,22,23,23,23,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 13:33:00+00:00,,22,23,0,,,,22,22,22,23,23,23,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 13:37:00+00:00,,22,23,0,,,,22,22,22,23,23,23,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 14:04:00+00:00,,22,23,0,,,,22,22,22,23,23,23,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 14:05:00+00:00,,9,36,0,,,,22,22,9,23,36,23,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 14:16:00+00:00,36.0,9,36,26,36.0,36.0,36.0,9,9,9,36,36,36,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 14:29:00+00:00,,5,92,0,,,,9,9,5,36,93,36,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 14:36:00+00:00,,3,93,0,,,,5,5,3,92,93,92,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 14:37:00+00:00,33.0,33,89,16,3.0,93.0,3.0,3,93,3,93,97,61,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 14:38:00+00:00,33.0,30,33,9,89.0,92.0,33.0,33,92,3,89,93,33,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 14:45:00+00:00,,30,33,0,,,,30,30,30,33,33,33,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 15:16:00+00:00,,30,33,0,,,,30,30,30,33,33,33,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 15:17:00+00:00,,30,33,0,,,,30,30,30,33,33,33,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 15:34:00+00:00,30.0,30,33,5,30.0,30.0,30.0,30,30,30,33,33,33,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 15:35:00+00:00,30.0,4,30,5,30.0,30.0,30.0,30,30,4,33,33,30,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 15:48:00+00:00,,3,30,0,,,,4,4,3,30,30,30,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 15:53:00+00:00,,3,30,0,,,,3,3,3,30,30,30,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 16:15:00+00:00,,3,30,0,,,,3,3,3,30,30,30,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 16:32:00+00:00,,3,30,0,,,,3,3,3,30,30,30,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 16:38:00+00:00,,3,30,0,,,,3,3,3,30,30,30,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 16:53:00+00:00,,22,23,0,,,,3,22,3,30,30,23,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 16:54:00+00:00,,3,30,0,,,,22,22,3,23,30,23,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 16:56:00+00:00,,3,30,0,,,,3,3,3,30,30,30,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 16:58:00+00:00,,3,30,0,,,,3,3,3,30,30,30,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 17:34:00+00:00,,3,30,0,,,,3,3,3,30,30,30,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 18:01:00+00:00,,3,30,0,,,,3,3,3,30,30,30,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 18:02:00+00:00,,3,30,0,,,,3,3,3,30,30,30,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 18:15:00+00:00,,3,30,0,,,,3,3,3,30,30,30,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 18:33:00+00:00,,3,30,0,,,,3,3,3,30,30,30,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 18:54:00+00:00,,3,30,0,,,,3,3,3,30,30,30,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 19:01:00+00:00,,3,30,0,,,,3,3,3,30,30,30,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 19:05:00+00:00,,3,30,0,,,,3,3,3,30,30,30,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 19:11:00+00:00,,3,30,0,,,,3,3,3,30,30,30,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 19:18:00+00:00,,22,23,0,,,,3,22,3,30,30,23,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 19:25:00+00:00,23.0,22,23,50,23.0,23.0,23.0,22,22,22,23,23,23,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 19:34:00+00:00,,22,23,0,,,,22,22,22,23,23,23,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 19:44:00+00:00,,22,23,0,,,,22,22,22,23,23,23,,KXNFLGAME-25OCT09PHINYG-NYG
2025-10-03 20:06:00+00:00,,22,23,0,,,,22,22,22,23,23,23,,KXNFLGAME-25OCT09PHINYG-NYG
