datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-03 04:36:00+00:00,,33,97,0,,,,0,33,0,99,99,97,,KXNFLGAME-25OCT09PHINYG-PHI
2025-10-03 04:45:00+00:00,,33,88,0,,,,33,33,33,97,97,88,,KXNFLGAME-25OCT09PHINYG-PHI
2025-10-03 04:47:00+00:00,,33,88,0,,,,33,33,33,88,88,88,,KXNFLGAME-25OCT09PHINYG-PHI
2025-10-03 05:12:00+00:00,,33,87,0,,,,33,33,33,88,88,87,,KXNFLGAME-25OCT09PHINYG-PHI
2025-10-03 05:50:00+00:00,,33,86,0,,,,33,33,33,87,88,86,,KXNFLGAME-25OCT09PHINYG-PHI
2025-10-03 06:10:00+00:00,,33,86,0,,,,33,33,33,86,86,86,,KXNFLGAME-25OCT09PHINYG-PHI
2025-10-03 06:46:00+00:00,76.0,76,79,1,76.0,76.0,76.0,33,76,33,86,86,79,,KXNFLGAME-25OCT09PHINYG-PHI
2025-10-03 06:47:00+00:00,,76,79,0,,,,76,76,76,79,79,79,,KXNFLGAME-25OCT09PHINYG-PHI
2025-10-03 06:58:00+00:00,,33,79,0,,,,76,76,33,79,79,79,,KXNFLGAME-25OCT09PHINYG-PHI
2025-10-03 07:07:00+00:00,,33,79,0,,,,33,33,33,79,79,79,,KXNFLGAME-25OCT09PHINYG-PHI
2025-10-03 07:13:00+00:00,,33,79,0,,,,33,33,33,79,79,79,,KXNFLGAME-25OCT09PHINYG-PHI
2025-10-03 07:51:00+00:00,,33,78,0,,,,33,33,33,79,79,78,,KXNFLGAME-25OCT09PHINYG-PHI
2025-10-03 08:16:00+00:00,,33,78,0,,,,33,33,33,78,78,78,,KXNFLGAME-25OCT09PHINYG-PHI
2025-10-03 08:23:00+00:00,,33,78,0,,,,33,33,33,78,78,78,,KXNFLGAME-25OCT09PHINYG-PHI
2025-10-03 08:24:00+00:00,,33,78,0,,,,33,33,4,78,78,78,,KXNFLGAME-25OCT09PHINYG-PHI
2025-10-03 09:13:00+00:00,,33,78,0,,,,33,33,33,78,79,78,,KXNFLGAME-25OCT09PHINYG-PHI
