datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-03 04:36:00+00:00,,33,97,0,,,,0,33,0,99,99,97,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 04:43:00+00:00,,33,58,0,,,,33,33,33,97,97,58,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 04:47:00+00:00,,33,58,0,,,,33,33,33,58,58,58,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 05:50:00+00:00,,33,58,0,,,,33,33,33,58,58,58,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 06:05:00+00:00,58.0,33,58,16,58.0,58.0,58.0,33,33,33,58,58,58,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 06:10:00+00:00,,33,58,0,,,,33,33,33,58,58,58,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 06:47:00+00:00,,33,57,0,,,,33,44,33,58,58,47,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 07:07:00+00:00,,33,95,0,,,,33,33,33,57,96,57,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 07:13:00+00:00,,33,96,0,,,,33,33,33,95,97,95,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 08:16:00+00:00,,33,96,0,,,,33,33,33,96,97,96,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 08:23:00+00:00,,4,96,0,,,,33,33,4,96,96,96,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 08:24:00+00:00,,33,96,0,,,,4,33,4,96,97,96,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 09:12:00+00:00,,33,97,0,,,,33,33,33,96,97,96,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 09:13:00+00:00,,33,96,0,,,,33,33,33,97,97,96,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 09:19:00+00:00,,33,96,0,,,,33,33,33,96,97,96,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 09:28:00+00:00,,33,96,0,,,,33,33,33,96,97,96,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 09:43:00+00:00,,33,96,0,,,,33,33,33,96,97,96,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 10:22:00+00:00,,33,96,0,,,,33,33,33,96,97,96,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 11:21:00+00:00,,33,97,0,,,,33,33,33,96,97,96,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 11:25:00+00:00,,33,97,0,,,,33,33,33,97,97,97,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 12:03:00+00:00,,47,51,0,,,,33,47,33,97,97,51,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 12:28:00+00:00,,47,51,0,,,,47,47,47,51,51,51,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 12:36:00+00:00,,47,51,0,,,,47,47,47,51,51,51,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 13:04:00+00:00,,47,51,0,,,,47,47,47,51,51,51,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 13:12:00+00:00,,47,51,0,,,,47,47,47,51,51,51,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 13:31:00+00:00,,47,51,0,,,,47,47,47,51,51,51,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 13:33:00+00:00,,47,51,0,,,,47,47,47,51,51,51,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 13:50:00+00:00,,47,51,0,,,,47,47,47,51,51,51,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 14:02:00+00:00,,47,50,0,,,,47,47,47,51,51,50,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 14:04:00+00:00,,47,50,0,,,,47,47,47,50,50,50,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 14:29:00+00:00,,47,50,0,,,,47,47,47,50,50,50,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 14:36:00+00:00,,47,50,0,,,,47,47,47,50,50,50,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 14:45:00+00:00,,47,50,0,,,,47,47,47,50,50,50,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 14:56:00+00:00,,47,50,0,,,,47,47,47,50,50,50,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 15:08:00+00:00,,47,50,0,,,,47,47,47,50,50,50,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 15:47:00+00:00,,47,50,0,,,,47,47,47,50,50,50,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 15:48:00+00:00,,47,50,0,,,,47,47,47,50,50,50,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 15:53:00+00:00,,47,50,0,,,,47,47,47,50,50,50,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 16:24:00+00:00,,47,50,0,,,,47,47,47,50,50,50,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 16:25:00+00:00,,47,50,0,,,,47,47,47,50,50,50,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 16:27:00+00:00,,47,50,0,,,,47,47,47,50,50,50,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 16:31:00+00:00,,47,50,0,,,,47,47,47,50,50,50,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 16:52:00+00:00,50.0,47,50,20,50.0,50.0,50.0,47,47,47,50,50,50,,KXNFLGAME-25OCT12DETKC-DET
2025-10-03 16:53:00+00:00,50.0,47,50,5,50.0,50.0,50.0,47,47,47,50,50,50,,KXNFLGAME-25OCT12DETKC-DET
