datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-03 04:36:00+00:00,,33,97,0,,,,0,33,0,99,99,97,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 04:43:00+00:00,,33,78,0,,,,33,33,33,97,97,78,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 04:47:00+00:00,,33,77,0,,,,33,33,33,78,78,77,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 05:50:00+00:00,,33,78,0,,,,33,33,33,77,78,77,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 05:58:00+00:00,,65,78,0,,,,33,65,33,78,78,78,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 06:10:00+00:00,,65,77,0,,,,65,65,65,78,78,77,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 06:46:00+00:00,69.0,65,71,1,69.0,69.0,69.0,65,69,65,77,77,71,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 06:47:00+00:00,,65,71,0,,,,65,65,65,71,71,71,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 07:07:00+00:00,,65,71,0,,,,65,65,65,71,71,71,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 07:13:00+00:00,,65,96,0,,,,65,65,65,71,97,71,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 08:16:00+00:00,,65,96,0,,,,65,65,65,96,97,96,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 08:23:00+00:00,,65,96,0,,,,65,65,65,96,96,96,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 08:24:00+00:00,,65,96,0,,,,65,65,65,96,97,96,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 09:12:00+00:00,,65,97,0,,,,65,65,65,96,97,96,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 09:13:00+00:00,,65,96,0,,,,65,65,65,97,97,96,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 09:19:00+00:00,,65,96,0,,,,65,65,65,96,97,96,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 09:28:00+00:00,,65,96,0,,,,65,65,65,96,97,96,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 09:43:00+00:00,,65,97,0,,,,65,65,65,96,97,96,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 09:44:00+00:00,,65,96,0,,,,65,65,65,97,97,96,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 10:22:00+00:00,,65,96,0,,,,65,65,65,96,97,96,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 11:25:00+00:00,,65,96,0,,,,65,65,65,96,97,96,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 11:46:00+00:00,,65,97,0,,,,65,65,65,96,97,96,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 12:03:00+00:00,,66,70,0,,,,65,66,65,97,97,70,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 12:28:00+00:00,,66,70,0,,,,66,66,66,70,70,70,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 12:36:00+00:00,,66,70,0,,,,66,66,66,70,70,70,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 13:04:00+00:00,,66,70,0,,,,66,66,66,70,70,70,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 13:12:00+00:00,,66,70,0,,,,66,66,66,70,70,70,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 13:31:00+00:00,,66,70,0,,,,66,66,66,70,70,70,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 13:33:00+00:00,,66,70,0,,,,66,66,66,70,70,70,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 13:46:00+00:00,,66,70,0,,,,66,66,66,70,70,70,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 13:50:00+00:00,,66,70,0,,,,66,66,66,70,70,70,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 14:04:00+00:00,,66,70,0,,,,66,66,66,70,70,70,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 14:29:00+00:00,,66,70,0,,,,66,66,66,70,70,70,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 14:36:00+00:00,,66,70,0,,,,66,66,66,70,70,70,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 14:45:00+00:00,,66,70,0,,,,66,66,66,70,70,70,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 15:08:00+00:00,,66,70,0,,,,66,66,66,70,70,70,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 15:47:00+00:00,,66,70,0,,,,66,66,66,70,70,70,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 15:48:00+00:00,,66,70,0,,,,66,66,66,70,70,70,,KXNFLGAME-25OCT13BUFATL-BUF
2025-10-03 15:53:00+00:00,,66,70,0,,,,66,66,66,70,70,70,,KXNFLGAME-25OCT13BUFATL-BUF
