datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-03 04:36:00+00:00,,33,97,0,,,,0,33,0,99,99,97,,KXNFLGAME-25OCT13CHIWAS-CHI
2025-10-03 04:43:00+00:00,,33,42,0,,,,33,33,33,97,97,42,,KXNFLGAME-25OCT13CHIWAS-CHI
2025-10-03 04:47:00+00:00,,33,42,0,,,,33,33,33,42,42,42,,KXNFLGAME-25OCT13CHIWAS-CHI
2025-10-03 05:50:00+00:00,,33,42,0,,,,33,33,33,42,42,42,,KXNFLGAME-25OCT13CHIWAS-CHI
2025-10-03 06:10:00+00:00,,33,42,0,,,,33,33,33,42,42,42,,KXNFLGAME-25OCT13CHIWAS-CHI
2025-10-03 06:46:00+00:00,,36,39,0,,,,33,36,33,42,42,39,,KXNFLGAME-25OCT13CHIWAS-CHI
2025-10-03 06:47:00+00:00,,33,42,0,,,,36,36,33,39,96,39,,KXNFLGAME-25OCT13CHIWAS-CHI
2025-10-03 07:07:00+00:00,,33,95,0,,,,33,33,33,42,96,42,,KXNFLGAME-25OCT13CHIWAS-CHI
2025-10-03 07:13:00+00:00,,33,96,0,,,,33,33,33,95,97,95,,KXNFLGAME-25OCT13CHIWAS-CHI
2025-10-03 08:16:00+00:00,,33,96,0,,,,33,33,33,96,97,96,,KXNFLGAME-25OCT13CHIWAS-CHI
2025-10-03 08:23:00+00:00,,33,96,0,,,,33,33,33,96,96,96,,KXNFLGAME-25OCT13CHIWAS-CHI
2025-10-03 08:24:00+00:00,,33,96,0,,,,33,33,4,96,97,96,,KXNFLGAME-25OCT13CHIWAS-CHI
2025-10-03 09:12:00+00:00,,33,97,0,,,,33,33,33,96,97,96,,KXNFLGAME-25OCT13CHIWAS-CHI
2025-10-03 09:13:00+00:00,,33,96,0,,,,33,33,33,97,97,96,,KXNFLGAME-25OCT13CHIWAS-CHI
