datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-08 19:18:00+00:00,,21,84,0,,,,0,21,0,99,99,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-08 19:19:00+00:00,,25,84,0,,,,21,25,21,84,84,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-08 19:23:00+00:00,,31,35,0,,,,25,31,25,84,84,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-08 19:25:00+00:00,,30,35,0,,,,31,31,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-08 19:59:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-08 21:02:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-08 21:47:00+00:00,,25,83,0,,,,30,30,25,35,84,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-08 22:05:00+00:00,,25,83,0,,,,25,25,25,83,83,83,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-08 22:16:00+00:00,25.0,25,83,13,25.0,25.0,25.0,25,25,25,83,83,83,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-08 22:25:00+00:00,,30,35,0,,,,25,30,25,83,83,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-08 22:34:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-08 22:58:00+00:00,,25,84,0,,,,30,30,25,35,85,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-08 22:59:00+00:00,,30,35,0,,,,25,30,25,84,84,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-08 23:08:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-08 23:45:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 00:11:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 00:12:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 00:35:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 01:15:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 01:26:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 02:17:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 02:18:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 03:07:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 03:21:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 03:52:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 03:59:00+00:00,,25,83,0,,,,30,30,25,35,83,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 04:00:00+00:00,,25,82,0,,,,25,25,25,83,83,82,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 04:02:00+00:00,,26,80,0,,,,25,26,25,82,82,80,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 04:07:00+00:00,,26,81,0,,,,26,26,26,80,81,80,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 04:08:00+00:00,,30,35,0,,,,26,30,26,81,81,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 04:20:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 04:24:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 04:32:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 04:42:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 05:11:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 05:27:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 05:31:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 06:08:00+00:00,,25,72,0,,,,30,30,25,35,72,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 06:11:00+00:00,,26,71,0,,,,25,26,25,72,72,71,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 06:19:00+00:00,,25,72,0,,,,26,26,25,71,72,71,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 06:20:00+00:00,,26,71,0,,,,25,26,25,72,72,71,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 06:29:00+00:00,,26,71,0,,,,26,26,25,71,72,71,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 06:30:00+00:00,,26,71,0,,,,26,26,26,71,71,71,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 06:38:00+00:00,,26,82,0,,,,26,26,25,71,85,71,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 06:42:00+00:00,,26,82,0,,,,26,26,26,82,82,82,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 06:47:00+00:00,,26,80,0,,,,26,26,25,82,82,80,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 06:56:00+00:00,,26,79,0,,,,26,26,25,80,80,78,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 07:00:00+00:00,,26,79,0,,,,26,26,26,79,79,79,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 07:03:00+00:00,,26,79,0,,,,26,26,26,79,79,79,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 07:05:00+00:00,,25,85,0,,,,26,26,25,79,85,79,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 07:51:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 09:03:00+00:00,,26,84,0,,,,25,26,25,85,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 09:30:00+00:00,,25,85,0,,,,26,26,25,84,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 09:31:00+00:00,,26,84,0,,,,25,26,25,85,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 09:39:00+00:00,,25,85,0,,,,26,26,25,84,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 09:40:00+00:00,,26,84,0,,,,25,26,25,85,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 09:48:00+00:00,,25,85,0,,,,26,26,25,84,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 09:49:00+00:00,,26,84,0,,,,25,26,25,85,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 09:57:00+00:00,,26,84,0,,,,26,26,25,84,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 10:03:00+00:00,,26,84,0,,,,26,26,26,84,84,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 10:05:00+00:00,,25,85,0,,,,26,26,25,84,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 10:06:00+00:00,,26,84,0,,,,25,26,25,85,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 10:14:00+00:00,,25,85,0,,,,26,26,25,84,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 10:15:00+00:00,,26,84,0,,,,25,26,25,85,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 10:23:00+00:00,,25,85,0,,,,26,26,25,84,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 10:24:00+00:00,,26,84,0,,,,25,26,25,85,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 10:32:00+00:00,,25,85,0,,,,26,26,25,84,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 10:33:00+00:00,,26,84,0,,,,25,26,25,85,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 10:41:00+00:00,,26,84,0,,,,26,26,25,84,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 10:50:00+00:00,,26,84,0,,,,26,26,25,84,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 10:58:00+00:00,,26,84,0,,,,26,26,25,84,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 11:06:00+00:00,,25,85,0,,,,26,26,25,84,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 11:07:00+00:00,,26,84,0,,,,25,26,25,85,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 11:25:00+00:00,,26,84,0,,,,26,26,25,84,85,84,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 11:28:00+00:00,,26,83,0,,,,26,26,26,84,84,83,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 11:34:00+00:00,,25,83,0,,,,26,26,25,83,83,83,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 11:35:00+00:00,,26,81,0,,,,25,26,25,83,83,81,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 11:43:00+00:00,,26,79,0,,,,26,26,25,81,81,79,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 11:44:00+00:00,,26,79,0,,,,26,26,26,79,79,79,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 11:49:00+00:00,,26,79,0,,,,26,26,26,79,79,79,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 11:51:00+00:00,,25,79,0,,,,26,26,25,79,79,79,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 11:52:00+00:00,,26,78,0,,,,25,26,25,79,79,78,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 12:00:00+00:00,,25,84,0,,,,26,26,25,78,85,78,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 12:01:00+00:00,,26,82,0,,,,25,26,25,84,84,82,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 12:04:00+00:00,,31,35,0,,,,26,31,26,82,82,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 12:06:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 12:09:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 12:12:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 12:35:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 12:52:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 13:13:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 13:30:00+00:00,,32,35,0,,,,31,32,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 13:52:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 13:55:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 13:56:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 14:33:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 14:59:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 15:00:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 15:01:00+00:00,,32,36,0,,,,32,32,32,35,36,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 15:16:00+00:00,,32,35,0,,,,32,32,32,36,36,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 15:58:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 16:03:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 16:24:00+00:00,35.0,32,35,2,35.0,35.0,35.0,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 17:06:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 17:07:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 17:08:00+00:00,,31,35,0,,,,32,32,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 17:13:00+00:00,,32,35,0,,,,31,32,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 17:26:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 17:51:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 18:07:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 18:10:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 18:22:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 18:23:00+00:00,35.0,32,35,1,35.0,35.0,35.0,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 18:27:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 18:32:00+00:00,35.0,32,35,1,35.0,35.0,35.0,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 18:42:00+00:00,35.0,32,35,1,35.0,35.0,35.0,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 18:52:00+00:00,35.0,32,35,1,35.0,35.0,35.0,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 19:01:00+00:00,35.0,32,35,1,35.0,35.0,35.0,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 19:10:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 19:13:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 19:54:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 20:16:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 20:38:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 21:19:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 21:20:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 21:22:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 22:05:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 22:23:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 22:48:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 23:18:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 23:26:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 23:27:00+00:00,,31,35,0,,,,32,32,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 23:28:00+00:00,,32,35,0,,,,31,32,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 23:37:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-09 23:44:00+00:00,32.0,32,35,5,32.0,32.0,32.0,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 00:29:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 00:37:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 00:59:00+00:00,,31,35,0,,,,32,32,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 01:02:00+00:00,,32,35,0,,,,31,32,30,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 01:32:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 01:37:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 01:42:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 02:35:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 02:42:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 02:47:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 02:54:00+00:00,35.0,32,35,5,35.0,35.0,35.0,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 03:16:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 03:38:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 03:47:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 03:59:00+00:00,,32,36,0,,,,32,32,32,35,36,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 04:09:00+00:00,,32,36,0,,,,32,32,32,36,36,36,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 04:11:00+00:00,,32,35,0,,,,32,32,32,36,36,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 04:40:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 04:41:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 04:53:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 04:55:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 04:56:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 05:18:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 05:36:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 05:44:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 06:11:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 06:19:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 06:20:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 06:25:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 06:46:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 06:47:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 07:21:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 07:31:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 07:33:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 07:37:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 07:50:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 07:56:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 08:30:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
2025-10-10 08:53:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT16PITCIN-CIN
