datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-08 19:18:00+00:00,,21,84,0,,,,0,21,0,99,99,84,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-08 19:19:00+00:00,,25,84,0,,,,21,25,21,84,84,84,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-08 19:23:00+00:00,,65,69,0,,,,25,65,25,84,84,69,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-08 19:25:00+00:00,,65,70,0,,,,65,65,65,69,70,69,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-08 19:59:00+00:00,,65,70,0,,,,65,65,65,70,70,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-08 21:02:00+00:00,,65,70,0,,,,65,65,65,70,70,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-08 21:47:00+00:00,,26,84,0,,,,65,65,26,70,85,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-08 22:05:00+00:00,,25,84,0,,,,26,26,25,84,84,84,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-08 22:25:00+00:00,,65,70,0,,,,25,65,25,84,84,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-08 22:58:00+00:00,,25,84,0,,,,65,65,25,70,85,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-08 22:59:00+00:00,,65,70,0,,,,25,65,25,84,84,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-08 23:08:00+00:00,,65,70,0,,,,65,65,65,70,70,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-08 23:44:00+00:00,,65,70,0,,,,65,65,65,70,70,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 00:11:00+00:00,,65,70,0,,,,65,65,65,70,70,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 00:12:00+00:00,,65,70,0,,,,65,65,65,70,70,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 00:34:00+00:00,,65,70,0,,,,65,65,65,70,70,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 01:15:00+00:00,,65,70,0,,,,65,65,65,70,70,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 01:26:00+00:00,,65,70,0,,,,65,65,65,70,70,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 02:16:00+00:00,,65,70,0,,,,65,65,65,70,70,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 02:18:00+00:00,,65,70,0,,,,65,65,65,70,70,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 03:07:00+00:00,,65,70,0,,,,65,65,65,70,70,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 03:21:00+00:00,,65,70,0,,,,65,65,65,70,70,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 03:52:00+00:00,,65,70,0,,,,65,65,65,70,70,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 03:59:00+00:00,,26,85,0,,,,65,65,26,70,85,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 04:00:00+00:00,,26,84,0,,,,26,26,26,85,85,84,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 04:07:00+00:00,,65,70,0,,,,26,65,26,84,84,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 04:24:00+00:00,,65,70,0,,,,65,65,65,70,70,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 04:32:00+00:00,,65,70,0,,,,65,65,65,70,70,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 05:11:00+00:00,,65,70,0,,,,65,65,65,70,70,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 05:27:00+00:00,,65,70,0,,,,65,65,65,70,70,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 05:31:00+00:00,,65,70,0,,,,65,65,65,70,70,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 06:08:00+00:00,,26,84,0,,,,65,65,26,70,85,70,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 06:30:00+00:00,,25,84,0,,,,26,26,25,84,84,84,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 06:42:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 07:00:00+00:00,,25,85,0,,,,25,25,25,84,85,84,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 07:51:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 10:03:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 10:41:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 11:28:00+00:00,,25,84,0,,,,25,25,25,85,85,84,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 11:44:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 11:49:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 12:04:00+00:00,,65,69,0,,,,25,65,25,84,84,69,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 12:06:00+00:00,,65,69,0,,,,65,65,65,69,69,69,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 12:12:00+00:00,,65,69,0,,,,65,65,65,69,69,69,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 12:35:00+00:00,,65,69,0,,,,65,65,65,69,69,69,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 12:52:00+00:00,,65,69,0,,,,65,65,65,69,69,69,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 13:13:00+00:00,,65,69,0,,,,65,65,65,69,69,69,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 13:30:00+00:00,,65,68,0,,,,65,65,65,69,70,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 13:52:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 13:55:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 13:56:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 14:33:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 14:59:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 15:00:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 15:01:00+00:00,,64,68,0,,,,65,65,64,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 15:15:00+00:00,,65,68,0,,,,64,65,64,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 15:16:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 15:58:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 16:03:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 16:42:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 17:06:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 17:07:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 17:08:00+00:00,,65,69,0,,,,65,65,65,68,70,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 17:13:00+00:00,,65,68,0,,,,65,65,65,69,69,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 17:26:00+00:00,,65,67,0,,,,65,65,65,68,68,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 18:07:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 18:09:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 18:10:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 18:22:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 18:23:00+00:00,65.0,65,67,1,65.0,65.0,65.0,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 18:27:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 18:32:00+00:00,65.0,65,67,1,65.0,65.0,65.0,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 18:42:00+00:00,65.0,65,67,1,65.0,65.0,65.0,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 18:52:00+00:00,65.0,65,67,1,65.0,65.0,65.0,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 19:01:00+00:00,65.0,65,67,1,65.0,65.0,65.0,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 19:10:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 19:13:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 19:54:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 20:16:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 20:38:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 21:19:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 21:20:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 21:22:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 22:05:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 22:23:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 22:48:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 23:18:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 23:26:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 23:27:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 23:28:00+00:00,,65,68,0,,,,65,65,65,67,68,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-09 23:37:00+00:00,,65,67,0,,,,65,65,65,68,68,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 00:29:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 00:37:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 00:59:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 01:02:00+00:00,,65,68,0,,,,65,65,65,67,68,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 01:32:00+00:00,,65,67,0,,,,65,65,65,68,68,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 01:37:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 01:42:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 02:15:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 02:35:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 02:42:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 02:47:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 03:16:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 03:38:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 03:59:00+00:00,,64,67,0,,,,65,65,64,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 04:09:00+00:00,,64,67,0,,,,64,64,64,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 04:10:00+00:00,,65,67,0,,,,64,65,64,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 04:40:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 04:53:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 04:55:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 04:56:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 05:18:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 05:36:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 05:43:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 05:44:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 06:11:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 06:20:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 06:25:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 06:46:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 06:47:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 07:21:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 07:31:00+00:00,,65,67,0,,,,65,65,65,67,67,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 07:33:00+00:00,,65,68,0,,,,65,65,65,67,68,67,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 07:36:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 07:50:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 07:56:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 08:30:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 08:53:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 09:05:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 09:39:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 09:56:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 10:14:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 10:46:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 10:49:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 10:59:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 11:03:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 11:25:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 12:02:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
2025-10-10 12:07:00+00:00,,65,68,0,,,,65,65,65,68,68,68,,KXNFLGAME-25OCT16PITCIN-PIT
