datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-08 19:16:00+00:00,,21,84,0,,,,0,21,0,99,99,84,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 19:19:00+00:00,,25,84,0,,,,21,25,21,84,84,84,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 19:23:00+00:00,,33,37,0,,,,25,33,25,84,85,37,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 19:25:00+00:00,,33,38,0,,,,33,33,33,37,38,37,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 19:45:00+00:00,,33,38,0,,,,33,33,33,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 19:48:00+00:00,38.0,34,38,1,38.0,38.0,38.0,33,34,33,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 19:56:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 19:57:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 19:59:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 20:04:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 20:13:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 21:02:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 21:16:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 21:26:00+00:00,,34,83,0,,,,34,34,34,38,84,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 21:30:00+00:00,,35,81,0,,,,34,35,34,83,83,81,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 21:39:00+00:00,,35,79,0,,,,35,35,34,81,81,79,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 21:48:00+00:00,,35,77,0,,,,35,35,34,79,79,77,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 21:57:00+00:00,,35,81,0,,,,35,35,34,77,84,77,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 22:05:00+00:00,,35,81,0,,,,35,35,35,81,81,81,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 22:06:00+00:00,,35,79,0,,,,35,35,34,81,81,79,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 22:09:00+00:00,,35,76,0,,,,35,35,35,79,79,76,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 22:15:00+00:00,,35,75,0,,,,35,35,34,76,76,75,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 22:16:00+00:00,,35,75,0,,,,35,35,35,75,75,75,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 22:25:00+00:00,,35,38,0,,,,35,35,34,75,76,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 22:34:00+00:00,,34,38,0,,,,35,35,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 22:59:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 23:08:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-08 23:44:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 00:11:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 00:34:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 01:14:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 01:15:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 01:26:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 02:16:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 02:18:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 03:07:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 03:21:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 03:52:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 03:59:00+00:00,,34,75,0,,,,34,34,34,38,75,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 04:02:00+00:00,,35,74,0,,,,34,35,34,75,75,74,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 04:08:00+00:00,,35,38,0,,,,35,35,35,74,74,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 04:20:00+00:00,,34,38,0,,,,35,35,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 04:24:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 04:32:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 04:42:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 05:11:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 05:15:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 05:16:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 05:27:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 05:31:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 06:07:00+00:00,,34,38,0,,,,34,34,34,38,38,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 06:08:00+00:00,,34,73,0,,,,34,34,34,38,73,38,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 06:11:00+00:00,,35,72,0,,,,34,35,34,73,73,72,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 06:20:00+00:00,,35,72,0,,,,35,35,34,72,73,72,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 06:29:00+00:00,,35,72,0,,,,35,35,34,72,73,72,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 06:30:00+00:00,,35,72,0,,,,35,35,35,72,72,72,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 06:38:00+00:00,,35,74,0,,,,35,35,34,72,75,72,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 06:42:00+00:00,,35,74,0,,,,35,35,35,74,74,74,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 06:47:00+00:00,,35,74,0,,,,35,35,34,74,75,74,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 06:56:00+00:00,,35,74,0,,,,35,35,34,74,75,74,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 07:02:00+00:00,,35,74,0,,,,35,35,35,74,74,74,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 07:03:00+00:00,,35,74,0,,,,35,35,35,74,74,74,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 07:05:00+00:00,,34,76,0,,,,35,35,34,74,76,74,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 07:51:00+00:00,,34,76,0,,,,34,34,34,76,76,76,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 09:03:00+00:00,,35,75,0,,,,34,35,34,76,76,75,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 09:30:00+00:00,,34,76,0,,,,35,35,34,75,76,75,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 09:31:00+00:00,,35,75,0,,,,34,35,34,76,76,75,,KXNFLGAME-25OCT19ATLSF-ATL
2025-10-09 09:39:00+00:00,,34,76,0,,,,35,35,34,75,76,75,,KXNFLGAME-25OCT19ATLSF-ATL
