datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-08 19:16:00+00:00,,21,84,0,,,,0,21,0,99,99,84,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 19:19:00+00:00,,25,84,0,,,,21,25,21,84,84,84,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 19:23:00+00:00,,63,67,0,,,,25,63,25,84,84,67,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 19:25:00+00:00,,62,67,0,,,,63,63,62,67,67,67,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 19:45:00+00:00,,62,67,0,,,,62,62,62,67,67,67,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 19:48:00+00:00,62.0,62,66,1,62.0,62.0,62.0,62,62,62,67,67,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 19:49:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 19:56:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 19:57:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 19:59:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 20:04:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 20:13:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 21:02:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 21:16:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 21:26:00+00:00,,26,66,0,,,,62,62,26,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 21:30:00+00:00,,27,65,0,,,,26,27,26,66,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 21:39:00+00:00,,27,65,0,,,,27,27,26,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 21:48:00+00:00,,27,65,0,,,,27,27,26,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 21:57:00+00:00,,27,65,0,,,,27,27,26,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 22:05:00+00:00,,27,65,0,,,,27,27,27,65,65,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 22:06:00+00:00,,26,65,0,,,,27,27,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 22:15:00+00:00,,26,65,0,,,,26,26,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 22:16:00+00:00,,26,65,0,,,,26,26,26,65,65,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 22:25:00+00:00,,62,65,0,,,,26,62,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 22:34:00+00:00,,62,66,0,,,,62,62,62,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 22:59:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 23:08:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-08 23:44:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 00:11:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 00:34:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 01:14:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 01:15:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 01:26:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 02:16:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 02:18:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 03:07:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 03:21:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 03:52:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 03:59:00+00:00,,26,66,0,,,,62,62,26,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 04:02:00+00:00,,27,65,0,,,,26,27,26,66,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 04:08:00+00:00,,62,65,0,,,,27,62,27,65,65,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 04:20:00+00:00,,62,66,0,,,,62,62,62,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 04:24:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 04:32:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 05:11:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 05:14:00+00:00,66.0,62,66,14,66.0,66.0,66.0,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 05:27:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 05:31:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 06:07:00+00:00,,62,66,0,,,,62,62,62,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 06:08:00+00:00,,26,66,0,,,,62,62,26,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 06:11:00+00:00,,27,65,0,,,,26,27,26,66,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 06:20:00+00:00,,27,65,0,,,,27,27,26,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 06:29:00+00:00,,27,65,0,,,,27,27,26,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 06:30:00+00:00,,27,65,0,,,,27,27,27,65,65,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 06:38:00+00:00,,26,65,0,,,,27,27,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 06:42:00+00:00,,26,65,0,,,,26,26,26,65,65,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 06:47:00+00:00,,26,65,0,,,,26,26,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 06:56:00+00:00,,26,65,0,,,,26,26,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 07:05:00+00:00,,25,66,0,,,,26,26,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 07:51:00+00:00,,25,66,0,,,,25,25,25,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 09:03:00+00:00,,26,65,0,,,,25,26,25,66,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 09:30:00+00:00,,25,66,0,,,,26,26,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 09:31:00+00:00,,26,65,0,,,,25,26,25,66,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 09:39:00+00:00,,25,66,0,,,,26,26,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 09:40:00+00:00,,26,65,0,,,,25,26,25,66,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 09:48:00+00:00,,25,66,0,,,,26,26,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 09:49:00+00:00,,26,65,0,,,,25,26,25,66,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 09:57:00+00:00,,26,65,0,,,,26,26,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 10:03:00+00:00,,26,65,0,,,,26,26,26,65,65,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 10:05:00+00:00,,25,66,0,,,,26,26,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 10:06:00+00:00,,26,65,0,,,,25,26,25,66,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 10:14:00+00:00,,25,66,0,,,,26,26,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 10:15:00+00:00,,26,65,0,,,,25,26,25,66,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 10:23:00+00:00,,25,66,0,,,,26,26,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 10:24:00+00:00,,26,65,0,,,,25,26,25,66,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 10:32:00+00:00,,26,65,0,,,,26,26,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 10:41:00+00:00,,26,65,0,,,,26,26,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 10:50:00+00:00,,26,65,0,,,,26,26,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 10:58:00+00:00,,26,65,0,,,,26,26,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 11:06:00+00:00,,25,66,0,,,,26,26,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 11:07:00+00:00,,26,65,0,,,,25,26,25,66,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 11:34:00+00:00,,25,66,0,,,,26,26,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 11:35:00+00:00,,26,65,0,,,,25,26,25,66,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 11:43:00+00:00,,26,65,0,,,,26,26,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 11:44:00+00:00,,26,65,0,,,,26,26,26,65,65,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 11:49:00+00:00,,26,65,0,,,,26,26,26,65,65,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 11:51:00+00:00,,25,66,0,,,,26,26,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 11:52:00+00:00,,26,65,0,,,,25,26,25,66,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 12:00:00+00:00,,26,65,0,,,,26,26,25,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 12:04:00+00:00,,63,65,0,,,,26,63,26,65,65,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 12:06:00+00:00,,63,65,0,,,,63,63,63,65,65,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 12:09:00+00:00,,63,66,0,,,,63,63,63,65,66,65,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 12:12:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 12:35:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 12:52:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 13:12:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 13:52:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 13:55:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 14:33:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 14:58:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 15:00:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 15:01:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 15:15:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 15:16:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 15:58:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 16:03:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 16:42:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 17:06:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 17:26:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 18:09:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 18:54:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 19:10:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 19:12:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 19:13:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 19:54:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 20:16:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 20:38:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 21:19:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 21:20:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 21:22:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 22:05:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 22:23:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 22:48:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 23:26:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-09 23:37:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 00:29:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 00:37:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 01:32:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 01:37:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 01:42:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 02:35:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 02:42:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 02:47:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 03:16:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 03:26:00+00:00,66.0,63,66,29,66.0,66.0,66.0,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 03:38:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 03:59:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 04:10:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 04:15:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 04:40:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 04:55:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 04:56:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 05:36:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 05:43:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 05:44:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 06:10:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 06:20:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 06:25:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 06:46:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 06:47:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 07:21:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 07:31:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 07:36:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 07:50:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 07:56:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 08:30:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 08:53:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 09:05:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 09:39:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 09:56:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 10:14:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 10:49:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
2025-10-10 10:59:00+00:00,,63,66,0,,,,63,63,63,66,66,66,,KXNFLGAME-25OCT19ATLSF-SF
