datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-08 19:17:00+00:00,,21,84,0,,,,0,21,0,99,99,84,,KXNFLGAME-25OCT19NYGDEN-NYG
2025-10-08 19:19:00+00:00,,25,84,0,,,,21,25,21,84,84,84,,KXNFLGAME-25OCT19NYGDEN-NYG
2025-10-08 19:23:00+00:00,25.0,21,22,20,25.0,25.0,25.0,25,25,21,84,84,22,,KXNFLGAME-25OCT19NYGDEN-NYG
2025-10-08 19:59:00+00:00,,21,22,0,,,,21,21,21,22,22,22,,KXNFLGAME-25OCT19NYGDEN-NYG
2025-10-08 21:02:00+00:00,,21,22,0,,,,21,21,21,22,22,22,,KXNFLGAME-25OCT19NYGDEN-NYG
2025-10-08 21:47:00+00:00,,21,83,0,,,,21,21,21,22,84,22,,KXNFLGAME-25OCT19NYGDEN-NYG
2025-10-08 21:48:00+00:00,,26,81,0,,,,21,26,21,83,83,81,,KXNFLGAME-25OCT19NYGDEN-NYG
2025-10-08 21:57:00+00:00,,26,79,0,,,,26,26,25,81,81,79,,KXNFLGAME-25OCT19NYGDEN-NYG
2025-10-08 22:05:00+00:00,,26,79,0,,,,26,26,26,79,79,79,,KXNFLGAME-25OCT19NYGDEN-NYG
2025-10-08 22:06:00+00:00,,26,78,0,,,,26,26,25,79,79,78,,KXNFLGAME-25OCT19NYGDEN-NYG
2025-10-08 22:07:00+00:00,,26,78,0,,,,26,26,26,78,78,78,,KXNFLGAME-25OCT19NYGDEN-NYG
2025-10-08 22:15:00+00:00,,26,80,0,,,,26,26,25,78,83,78,,KXNFLGAME-25OCT19NYGDEN-NYG
2025-10-08 22:25:00+00:00,25.0,21,22,25,26.0,26.0,25.0,26,26,21,80,80,22,,KXNFLGAME-25OCT19NYGDEN-NYG
2025-10-08 22:26:00+00:00,,21,22,0,,,,21,21,21,22,22,22,,KXNFLGAME-25OCT19NYGDEN-NYG
2025-10-08 22:34:00+00:00,,21,22,0,,,,21,21,21,22,22,22,,KXNFLGAME-25OCT19NYGDEN-NYG
2025-10-08 23:08:00+00:00,,21,22,0,,,,21,21,21,22,22,22,,KXNFLGAME-25OCT19NYGDEN-NYG
2025-10-08 23:54:00+00:00,,21,22,0,,,,21,21,21,22,22,22,,KXNFLGAME-25OCT19NYGDEN-NYG
2025-10-09 00:11:00+00:00,,21,22,0,,,,21,21,21,22,22,22,,KXNFLGAME-25OCT19NYGDEN-NYG
