datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-08 19:16:00+00:00,,21,85,0,,,,0,21,0,99,99,85,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 19:17:00+00:00,,21,84,0,,,,21,21,21,85,85,84,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 19:19:00+00:00,,25,84,0,,,,21,25,21,84,84,84,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 19:23:00+00:00,,30,34,0,,,,25,30,25,84,85,34,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 19:25:00+00:00,,30,35,0,,,,30,30,30,34,35,34,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 19:45:00+00:00,,30,35,0,,,,30,30,30,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 19:51:00+00:00,35.0,30,35,1,35.0,35.0,35.0,30,30,30,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 19:52:00+00:00,,31,35,0,,,,30,31,30,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 19:56:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 19:57:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 19:59:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 20:04:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 20:13:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 21:02:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 21:16:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 21:26:00+00:00,,31,83,0,,,,31,31,31,35,84,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 21:30:00+00:00,,32,81,0,,,,31,32,31,83,83,81,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 21:39:00+00:00,,32,79,0,,,,32,32,31,81,81,79,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 21:48:00+00:00,,32,77,0,,,,32,32,31,79,79,77,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 21:57:00+00:00,,32,81,0,,,,32,32,31,77,84,77,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 22:05:00+00:00,,32,81,0,,,,32,32,32,81,81,81,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 22:06:00+00:00,,32,79,0,,,,32,32,31,81,81,79,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 22:10:00+00:00,,32,79,0,,,,32,32,32,79,79,79,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 22:15:00+00:00,,32,78,0,,,,32,32,31,79,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 22:16:00+00:00,,32,78,0,,,,32,32,32,78,78,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 22:25:00+00:00,,32,78,0,,,,32,32,31,78,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 22:26:00+00:00,,32,35,0,,,,32,32,32,78,78,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 22:34:00+00:00,,31,35,0,,,,32,32,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 22:59:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 23:08:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-08 23:44:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 00:11:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 00:34:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 01:13:00+00:00,35.0,31,35,100,35.0,35.0,35.0,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 01:14:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 01:15:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 02:03:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 02:18:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 02:54:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 03:12:00+00:00,35.0,31,35,2,35.0,35.0,35.0,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 03:16:00+00:00,35.0,31,35,13,35.0,35.0,35.0,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 03:17:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 03:21:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 03:59:00+00:00,,31,48,0,,,,31,31,31,35,48,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 04:00:00+00:00,,31,48,0,,,,31,31,31,48,48,48,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 04:02:00+00:00,,32,47,0,,,,31,32,31,48,48,47,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 04:08:00+00:00,,32,35,0,,,,32,32,32,47,47,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 04:20:00+00:00,,31,35,0,,,,32,32,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 04:24:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 04:40:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 04:42:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 05:15:00+00:00,35.0,31,35,27,35.0,35.0,35.0,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 05:16:00+00:00,35.0,31,35,54,35.0,35.0,35.0,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 05:27:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 05:31:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 06:02:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 06:07:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 06:08:00+00:00,,31,49,0,,,,31,31,31,35,49,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 06:11:00+00:00,,32,48,0,,,,31,32,31,49,49,48,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 06:20:00+00:00,,32,48,0,,,,32,32,31,48,49,48,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 06:29:00+00:00,,32,48,0,,,,32,32,31,48,49,48,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 06:30:00+00:00,,32,48,0,,,,32,32,32,48,48,48,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 06:38:00+00:00,,32,48,0,,,,32,32,31,48,49,48,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 06:42:00+00:00,,32,48,0,,,,32,32,32,48,48,48,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 06:47:00+00:00,,32,48,0,,,,32,32,31,48,49,48,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 06:56:00+00:00,,32,48,0,,,,32,32,31,48,49,48,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 07:02:00+00:00,,32,48,0,,,,32,32,32,48,48,48,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 07:05:00+00:00,,31,49,0,,,,32,32,31,48,49,48,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 07:51:00+00:00,,31,49,0,,,,31,31,31,49,49,49,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 07:57:00+00:00,,31,79,0,,,,31,31,31,49,79,49,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 09:03:00+00:00,,32,78,0,,,,31,32,31,79,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 09:30:00+00:00,,31,79,0,,,,32,32,31,78,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 09:31:00+00:00,,32,78,0,,,,31,32,31,79,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 09:39:00+00:00,,31,79,0,,,,32,32,31,78,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 09:40:00+00:00,,32,78,0,,,,31,32,31,79,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 09:48:00+00:00,,31,79,0,,,,32,32,31,78,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 09:49:00+00:00,,32,78,0,,,,31,32,31,79,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 09:57:00+00:00,,32,78,0,,,,32,32,31,78,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 09:58:00+00:00,,32,78,0,,,,32,32,32,78,78,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 10:03:00+00:00,,32,78,0,,,,32,32,32,78,78,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 10:05:00+00:00,,31,79,0,,,,32,32,31,78,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 10:06:00+00:00,,32,78,0,,,,31,32,31,79,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 10:14:00+00:00,,31,79,0,,,,32,32,31,78,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 10:15:00+00:00,,32,78,0,,,,31,32,31,79,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 10:23:00+00:00,,31,79,0,,,,32,32,31,78,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 10:24:00+00:00,,32,78,0,,,,31,32,31,79,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 10:32:00+00:00,,32,78,0,,,,32,32,31,78,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 10:41:00+00:00,,32,78,0,,,,32,32,31,78,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 10:50:00+00:00,,32,78,0,,,,32,32,31,78,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 10:58:00+00:00,,32,78,0,,,,32,32,31,78,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 11:06:00+00:00,,31,79,0,,,,32,32,31,78,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 11:07:00+00:00,,32,78,0,,,,31,32,31,79,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 11:34:00+00:00,,31,79,0,,,,32,32,31,78,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 11:35:00+00:00,,32,78,0,,,,31,32,31,79,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 11:43:00+00:00,,32,78,0,,,,32,32,31,78,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 11:44:00+00:00,,32,78,0,,,,32,32,32,78,78,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 11:46:00+00:00,,32,78,0,,,,32,32,32,78,78,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 11:49:00+00:00,,32,78,0,,,,32,32,32,78,78,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 11:51:00+00:00,,31,79,0,,,,32,32,31,78,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 11:52:00+00:00,,32,78,0,,,,31,32,31,79,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 12:00:00+00:00,,32,78,0,,,,32,32,31,78,79,78,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 12:04:00+00:00,,32,35,0,,,,32,32,32,78,78,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 12:06:00+00:00,,32,35,0,,,,32,32,32,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 12:09:00+00:00,,31,35,0,,,,32,32,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 12:12:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 12:35:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 12:45:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 12:52:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 13:12:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 13:28:00+00:00,35.0,31,35,27,35.0,35.0,35.0,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 13:34:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 13:55:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
2025-10-09 14:07:00+00:00,,31,35,0,,,,31,31,31,35,35,35,,KXNFLGAME-25OCT20TBDET-TB
