datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-14 19:11:00+00:00,,25,85,0,,,,0,25,0,99,99,85,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-14 19:12:00+00:00,,25,84,0,,,,25,25,25,85,85,84,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-14 19:13:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-14 19:14:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-14 19:20:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-14 20:14:00+00:00,,58,62,0,,,,25,58,25,84,84,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-14 20:17:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-14 21:20:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-14 21:23:00+00:00,,58,62,0,,,,58,58,25,62,84,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-14 21:39:00+00:00,,58,62,0,,,,58,58,25,62,84,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-14 21:40:00+00:00,,58,62,0,,,,58,58,25,62,84,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-14 21:53:00+00:00,,58,62,0,,,,58,58,25,62,84,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-14 22:23:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-14 22:24:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-14 22:54:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-14 23:27:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-14 23:34:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 00:26:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 00:30:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 00:32:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 01:24:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 01:35:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 01:36:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 02:02:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 02:39:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 02:40:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 03:01:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 03:20:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 03:43:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 03:59:00+00:00,,25,84,0,,,,58,58,25,62,84,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 04:00:00+00:00,,25,83,0,,,,25,25,25,84,84,83,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 04:05:00+00:00,,25,83,0,,,,25,25,25,83,83,83,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 04:12:00+00:00,,58,62,0,,,,25,58,25,83,83,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 04:25:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 04:46:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 04:51:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 05:35:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 05:49:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 06:18:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 06:52:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 06:57:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 07:31:00+00:00,,58,83,0,,,,58,58,58,62,84,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 07:36:00+00:00,,58,83,0,,,,58,58,58,83,83,83,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 07:55:00+00:00,,58,83,0,,,,58,58,58,83,83,83,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 08:16:00+00:00,,58,62,0,,,,58,58,58,83,83,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 08:51:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 08:58:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 08:59:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 09:24:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 10:00:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 10:02:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 10:38:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 10:40:00+00:00,,58,61,0,,,,58,58,58,62,62,61,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 10:59:00+00:00,,58,83,0,,,,58,58,58,61,84,61,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 11:05:00+00:00,,58,83,0,,,,58,58,58,83,83,83,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 11:10:00+00:00,,58,83,0,,,,58,58,58,83,83,83,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 11:54:00+00:00,,58,84,0,,,,58,58,58,83,84,83,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 11:55:00+00:00,,58,83,0,,,,58,58,58,84,84,83,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 12:03:00+00:00,,58,61,0,,,,58,58,58,83,83,61,,KXNFLGAME-25OCT26GBPIT-GB
2025-10-15 12:08:00+00:00,,58,61,0,,,,58,58,58,61,61,61,,KXNFLGAME-25OCT26GBPIT-GB
