datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-09-17 19:00:00+00:00,,0,99,0,,,,0,0,0,99,99,99,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-17 19:01:00+00:00,,3,97,0,,,,0,3,0,99,99,97,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-17 22:45:00+00:00,,3,97,0,,,,3,3,3,97,97,97,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-17 23:06:00+00:00,,3,97,0,,,,3,3,3,97,97,97,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-17 23:07:00+00:00,,3,97,0,,,,3,3,3,97,97,97,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-17 23:08:00+00:00,,3,97,0,,,,3,3,3,97,97,97,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-17 23:13:00+00:00,,3,97,0,,,,3,3,3,97,97,97,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 04:21:00+00:00,,3,97,0,,,,3,3,3,97,97,97,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 04:22:00+00:00,,4,97,0,,,,3,4,3,97,97,97,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 06:55:00+00:00,,4,97,0,,,,4,4,4,97,97,97,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 09:12:00+00:00,,3,97,0,,,,4,4,3,97,97,97,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 12:03:00+00:00,,3,97,0,,,,3,3,3,97,97,97,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 13:05:00+00:00,,30,34,0,,,,3,30,3,97,97,34,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 13:15:00+00:00,,30,34,0,,,,30,30,30,34,34,34,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 13:50:00+00:00,,30,34,0,,,,30,30,30,34,34,34,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 14:03:00+00:00,,30,34,0,,,,30,30,30,34,34,34,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 14:04:00+00:00,,30,34,0,,,,30,30,30,34,34,34,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 14:53:00+00:00,,30,34,0,,,,30,30,30,34,34,34,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 14:55:00+00:00,,30,34,0,,,,30,30,30,34,34,34,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 15:46:00+00:00,,30,34,0,,,,30,30,30,34,34,34,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 15:56:00+00:00,,30,34,0,,,,30,30,30,34,34,34,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 15:57:00+00:00,,30,34,0,,,,30,30,30,34,34,34,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 16:20:00+00:00,,30,32,0,,,,30,30,30,34,34,32,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 16:23:00+00:00,,30,32,0,,,,30,30,30,32,32,32,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 16:39:00+00:00,,30,32,0,,,,30,30,30,32,32,32,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 17:00:00+00:00,,30,32,0,,,,30,30,30,32,32,32,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 17:09:00+00:00,,30,32,0,,,,30,30,30,32,32,32,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 17:36:00+00:00,,30,32,0,,,,30,30,30,32,32,32,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 17:47:00+00:00,,30,32,0,,,,30,30,30,32,32,32,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 18:03:00+00:00,,30,32,0,,,,30,30,30,32,32,32,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 18:13:00+00:00,,30,32,0,,,,30,30,30,32,32,32,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 18:14:00+00:00,,30,32,0,,,,30,30,30,32,32,32,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 18:18:00+00:00,,30,32,0,,,,30,30,30,32,32,32,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 18:27:00+00:00,,30,32,0,,,,30,30,30,32,32,32,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 18:28:00+00:00,,30,32,0,,,,30,30,30,32,32,32,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 18:34:00+00:00,,30,32,0,,,,30,30,30,32,32,32,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 19:06:00+00:00,,30,32,0,,,,30,30,30,32,32,32,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 19:28:00+00:00,,30,33,0,,,,30,30,30,32,33,32,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 19:30:00+00:00,,30,33,0,,,,30,30,30,33,33,33,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 19:32:00+00:00,,30,33,0,,,,30,30,30,33,33,33,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 20:09:00+00:00,,30,33,0,,,,30,30,30,33,33,33,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 20:29:00+00:00,,30,33,0,,,,30,30,30,33,33,33,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 21:12:00+00:00,,30,33,0,,,,30,30,30,33,33,33,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 21:21:00+00:00,,30,33,0,,,,30,30,30,33,33,33,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 21:46:00+00:00,,30,33,0,,,,30,30,30,33,33,33,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 22:02:00+00:00,,30,33,0,,,,30,30,30,33,33,33,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 22:03:00+00:00,,30,33,0,,,,30,30,30,33,33,33,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 22:06:00+00:00,,30,33,0,,,,30,30,30,33,33,33,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 22:13:00+00:00,,30,33,0,,,,30,30,30,33,33,33,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 22:15:00+00:00,,30,33,0,,,,30,30,30,33,33,33,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 22:42:00+00:00,,30,33,0,,,,30,30,30,33,33,33,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 23:03:00+00:00,,30,33,0,,,,30,30,30,33,33,33,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 23:18:00+00:00,,30,33,0,,,,30,30,30,33,33,33,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 23:19:00+00:00,,30,33,0,,,,30,30,30,33,33,33,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 23:41:00+00:00,,30,33,0,,,,30,30,30,33,33,33,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 23:42:00+00:00,,30,33,0,,,,30,30,30,33,33,33,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-18 23:45:00+00:00,,30,32,0,,,,30,30,30,33,33,32,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-19 00:00:00+00:00,,30,32,0,,,,30,30,30,32,32,32,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-19 00:22:00+00:00,,30,32,0,,,,30,30,30,32,32,32,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-19 00:40:00+00:00,,30,32,0,,,,30,30,30,32,32,32,,KXNFLGAME-25SEP28GBDAL-DAL
2025-09-19 00:58:00+00:00,,30,32,0,,,,30,30,30,32,32,32,,KXNFLGAME-25SEP28GBDAL-DAL
