datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-09-17 19:01:00+00:00,,3,97,0,,,,0,3,0,99,99,97,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-17 19:03:00+00:00,,3,97,0,,,,3,3,3,97,97,97,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-17 22:45:00+00:00,,3,97,0,,,,3,3,3,97,97,97,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-17 23:06:00+00:00,,3,97,0,,,,3,3,3,97,97,97,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-17 23:07:00+00:00,,3,97,0,,,,3,3,3,97,97,97,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-17 23:13:00+00:00,,3,97,0,,,,3,3,3,97,97,97,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 04:21:00+00:00,,3,97,0,,,,3,3,3,97,97,97,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 04:22:00+00:00,,4,97,0,,,,3,4,3,97,97,97,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 09:12:00+00:00,,3,97,0,,,,4,4,3,97,97,97,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 12:03:00+00:00,,3,97,0,,,,3,3,3,97,97,97,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 13:05:00+00:00,,68,72,0,,,,3,68,3,97,97,72,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 13:15:00+00:00,,68,72,0,,,,68,68,68,72,72,72,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 13:50:00+00:00,,68,72,0,,,,68,68,68,72,72,72,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 14:03:00+00:00,,68,72,0,,,,68,68,68,72,72,72,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 14:04:00+00:00,,68,72,0,,,,68,68,68,72,72,72,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 14:05:00+00:00,,68,72,0,,,,68,68,68,72,72,72,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 14:53:00+00:00,,68,72,0,,,,68,68,68,72,72,72,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 14:55:00+00:00,,68,72,0,,,,68,68,68,72,72,72,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 15:46:00+00:00,,68,72,0,,,,68,68,68,72,72,72,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 15:56:00+00:00,,68,72,0,,,,68,68,68,72,72,72,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 15:57:00+00:00,,68,72,0,,,,68,68,68,72,72,72,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 16:18:00+00:00,72.0,68,72,68,72.0,72.0,72.0,68,68,68,72,72,72,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 16:20:00+00:00,,70,72,0,,,,68,70,68,72,72,72,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 16:23:00+00:00,,70,72,0,,,,70,70,70,72,72,72,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 17:00:00+00:00,,70,72,0,,,,70,70,70,72,72,72,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 17:09:00+00:00,,70,72,0,,,,70,70,70,72,72,72,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 17:12:00+00:00,,70,72,0,,,,70,70,70,72,72,72,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 17:47:00+00:00,,70,71,0,,,,70,70,70,72,72,71,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 18:03:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 18:10:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 18:14:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 18:15:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 18:18:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXNFLGAME-25SEP28LACNYG-LAC
2025-09-18 18:37:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXNFLGAME-25SEP28LACNYG-LAC
