datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-03 06:26:00+00:00,,0,63,0,,,,0,0,0,63,63,63,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:28:00+00:00,,0,63,0,,,,0,0,0,63,63,63,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:30:00+00:00,,0,63,0,,,,0,0,0,63,63,63,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:31:00+00:00,,20,61,0,,,,0,20,0,63,63,61,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:33:00+00:00,,20,61,0,,,,20,20,20,61,61,61,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:35:00+00:00,,20,22,0,,,,20,20,20,61,61,22,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:36:00+00:00,,19,22,0,,,,20,20,8,22,22,22,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:37:00+00:00,,19,22,0,,,,19,19,19,22,22,22,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:38:00+00:00,19.0,12,18,39,19.0,19.0,19.0,19,19,7,22,22,17,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:39:00+00:00,,12,18,0,,,,12,13,12,18,18,18,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:40:00+00:00,18.0,12,18,5,18.0,18.0,18.0,12,12,12,18,18,18,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:41:00+00:00,,15,18,0,,,,12,15,12,18,18,18,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:43:00+00:00,,15,18,0,,,,15,15,15,18,18,18,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:44:00+00:00,,15,27,0,,,,15,15,15,18,27,18,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:46:00+00:00,,16,26,0,,,,15,16,15,27,27,26,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:47:00+00:00,14.0,16,21,116,16.0,16.0,14.0,16,16,7,26,26,21,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:49:00+00:00,,16,21,0,,,,16,16,16,21,21,21,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:50:00+00:00,,16,21,0,,,,16,16,16,21,21,21,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:51:00+00:00,,16,21,0,,,,16,16,16,21,21,21,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:53:00+00:00,,16,21,0,,,,16,16,16,21,21,21,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:55:00+00:00,,16,21,0,,,,16,16,16,21,21,21,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:56:00+00:00,15.0,15,20,23,16.0,16.0,15.0,16,16,13,21,21,20,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:57:00+00:00,,14,19,0,,,,15,15,13,20,20,19,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:58:00+00:00,14.0,14,19,1,14.0,14.0,14.0,14,14,14,19,19,19,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 06:59:00+00:00,,14,19,0,,,,14,14,13,19,19,19,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 07:00:00+00:00,,14,19,0,,,,14,14,14,19,19,19,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 07:01:00+00:00,,14,19,0,,,,14,14,14,19,19,19,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 07:03:00+00:00,,14,19,0,,,,14,14,14,19,19,19,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 07:04:00+00:00,,14,19,0,,,,14,14,14,19,19,19,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 07:06:00+00:00,,14,19,0,,,,14,14,14,19,19,19,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 07:07:00+00:00,,14,18,0,,,,14,14,14,19,19,18,,KXHIGHLAX-25NOV03-B70.5
2025-11-03 07:08:00+00:00,,14,18,0,,,,14,14,13,18,18,18,,KXHIGHLAX-25NOV03-B70.5
