datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-16 14:01:00+00:00,,0,69,0,,,,0,0,0,69,69,69,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:03:00+00:00,,0,69,0,,,,0,0,0,69,69,69,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:04:00+00:00,,0,50,0,,,,0,0,0,69,69,50,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:05:00+00:00,,14,50,0,,,,0,14,0,50,50,50,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:06:00+00:00,,20,50,0,,,,14,20,14,50,50,50,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:07:00+00:00,,20,50,0,,,,20,20,20,50,50,50,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:08:00+00:00,,44,50,0,,,,20,44,20,50,50,50,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:09:00+00:00,,44,50,0,,,,44,44,44,50,50,50,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:10:00+00:00,,44,50,0,,,,44,44,44,50,50,50,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:11:00+00:00,,44,50,0,,,,44,44,44,50,50,50,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:12:00+00:00,,44,49,0,,,,44,44,44,50,50,49,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:13:00+00:00,,44,49,0,,,,44,44,44,49,49,49,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:14:00+00:00,,44,49,0,,,,44,44,44,49,49,49,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:15:00+00:00,,44,50,0,,,,44,44,44,49,50,49,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:16:00+00:00,,42,49,0,,,,44,44,42,50,50,49,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:17:00+00:00,,44,49,0,,,,42,44,42,49,49,49,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:18:00+00:00,,44,49,0,,,,44,44,44,49,50,49,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:19:00+00:00,,44,49,0,,,,44,44,44,49,49,49,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:20:00+00:00,,44,49,0,,,,44,44,44,49,49,49,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:21:00+00:00,,44,49,0,,,,44,44,44,49,49,49,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:22:00+00:00,,44,49,0,,,,44,44,44,49,50,49,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:23:00+00:00,,44,49,0,,,,44,44,44,49,49,49,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:24:00+00:00,,44,49,0,,,,44,44,44,49,49,49,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:26:00+00:00,,44,49,0,,,,44,44,44,49,49,49,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:27:00+00:00,,44,49,0,,,,44,44,44,49,49,49,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:29:00+00:00,,43,48,0,,,,44,44,30,49,49,48,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:31:00+00:00,,43,48,0,,,,43,43,43,48,48,48,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:33:00+00:00,,43,48,0,,,,43,43,43,48,48,48,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:35:00+00:00,,43,48,0,,,,43,43,43,48,48,48,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:36:00+00:00,,43,48,0,,,,43,43,43,48,48,48,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:37:00+00:00,,43,48,0,,,,43,43,43,48,48,48,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:39:00+00:00,,43,48,0,,,,43,43,43,48,48,48,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:41:00+00:00,,43,48,0,,,,43,43,43,48,48,48,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:42:00+00:00,,43,48,0,,,,43,43,43,48,48,48,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:43:00+00:00,,43,48,0,,,,43,43,43,48,48,48,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:45:00+00:00,,43,48,0,,,,43,43,43,48,48,48,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:46:00+00:00,,43,48,0,,,,43,43,43,48,48,48,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:47:00+00:00,,43,48,0,,,,43,43,43,48,48,48,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:49:00+00:00,,43,48,0,,,,43,43,43,48,48,48,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:51:00+00:00,,43,48,0,,,,43,43,43,48,48,48,,KXHIGHLAX-25OCT17-B74.5
2025-10-16 14:52:00+00:00,,43,48,0,,,,43,43,43,48,48,48,,KXHIGHLAX-25OCT17-B74.5
