datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-18 14:01:00+00:00,,1,69,0,,,,0,1,0,69,69,69,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:03:00+00:00,,1,69,0,,,,1,1,1,69,69,69,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:04:00+00:00,,1,69,0,,,,1,1,1,69,69,69,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:05:00+00:00,,1,69,0,,,,1,1,1,69,69,69,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:06:00+00:00,,1,69,0,,,,1,1,1,69,69,69,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:07:00+00:00,,1,3,0,,,,1,1,1,69,69,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:08:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:09:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:10:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:11:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:12:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:14:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:16:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:17:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:18:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:19:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:20:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:21:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:22:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:24:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:25:00+00:00,,1,3,0,,,,1,1,1,3,50,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:26:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:27:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:28:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:29:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:30:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:32:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:33:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:34:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:35:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:36:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:37:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:38:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:39:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:40:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:41:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:42:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:43:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:44:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:45:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:46:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:47:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:48:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:49:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:50:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:51:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:52:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:53:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:54:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:55:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:57:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 14:59:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:01:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:03:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:04:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:05:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:06:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:07:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:08:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:09:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:10:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:11:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:12:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:13:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:14:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:15:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:16:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:17:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:18:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:19:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:20:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:21:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:22:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:23:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:24:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:26:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:28:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:30:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:32:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:34:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:35:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:36:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:37:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:38:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:39:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:40:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:41:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:42:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:43:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:44:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:45:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:46:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:47:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:48:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:49:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:50:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:51:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:52:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:53:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:57:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 15:59:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 16:01:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 16:02:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 16:03:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 16:04:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 16:05:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 16:06:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 16:08:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 16:10:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 16:12:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 16:14:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 16:16:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 16:18:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 16:20:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 16:22:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 16:24:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 16:26:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
2025-10-18 16:28:00+00:00,,1,3,0,,,,1,1,1,3,3,3,,KXHIGHLAX-25OCT19-T78
