datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-09 15:01:00+00:00,,0,58,0,,,,0,0,0,58,58,58,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:06:00+00:00,,2,21,0,,,,0,2,0,58,58,21,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:08:00+00:00,,8,14,0,,,,2,8,2,21,21,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:10:00+00:00,,8,14,0,,,,8,8,6,14,16,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:11:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:12:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:14:00+00:00,,8,14,0,,,,8,8,8,14,16,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:16:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:20:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:21:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:22:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:27:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:31:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:36:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:37:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:40:00+00:00,,8,14,0,,,,8,8,2,14,22,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:41:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:46:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:51:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:52:00+00:00,,8,14,0,,,,8,8,2,14,22,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:53:00+00:00,,8,14,0,,,,8,8,8,14,16,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:54:00+00:00,,8,14,0,,,,8,8,6,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 15:56:00+00:00,,8,14,0,,,,8,8,6,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 16:01:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 16:06:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 16:11:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 16:16:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 16:21:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 16:26:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 16:31:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 16:36:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 16:41:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 16:51:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 17:04:00+00:00,,8,14,0,,,,8,8,2,14,21,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 17:05:00+00:00,,8,14,0,,,,8,8,6,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 17:06:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 17:11:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 17:13:00+00:00,,8,14,0,,,,8,8,8,14,16,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 17:16:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 17:17:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 17:21:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 17:26:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 17:31:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 17:36:00+00:00,,8,14,0,,,,8,8,8,14,14,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 17:38:00+00:00,,8,14,0,,,,8,8,2,14,21,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 17:39:00+00:00,,7,20,0,,,,8,8,2,14,20,14,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 17:40:00+00:00,,11,16,0,,,,7,11,2,20,21,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 17:41:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 17:46:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 17:51:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 17:52:00+00:00,,11,16,0,,,,11,11,9,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 17:53:00+00:00,,11,16,0,,,,11,11,9,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 17:56:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 18:01:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 18:06:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 18:11:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 18:16:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 18:21:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 18:26:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 18:31:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 18:36:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 18:41:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 18:46:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 18:48:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 18:51:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 18:56:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 19:01:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 19:06:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 19:11:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 19:21:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 19:26:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 19:29:00+00:00,,11,16,0,,,,11,11,9,16,18,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 19:31:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 19:32:00+00:00,,11,16,0,,,,11,11,9,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 19:36:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 19:41:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 19:46:00+00:00,,11,16,0,,,,11,11,9,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 19:51:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 19:56:00+00:00,,11,16,0,,,,11,11,9,16,18,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 20:01:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 20:06:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 20:07:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 20:11:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 20:16:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 20:17:00+00:00,,11,16,0,,,,11,11,9,16,18,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 20:20:00+00:00,,11,16,0,,,,11,11,11,16,18,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 20:21:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 20:26:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 20:31:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 20:33:00+00:00,,11,16,0,,,,11,11,11,16,18,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 20:35:00+00:00,,11,16,0,,,,11,11,9,16,18,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 20:36:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 20:38:00+00:00,,11,16,0,,,,11,11,9,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 20:39:00+00:00,,11,16,0,,,,11,11,9,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 20:41:00+00:00,,11,16,0,,,,11,11,11,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 20:44:00+00:00,,10,16,0,,,,11,11,8,16,18,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 20:46:00+00:00,,10,16,0,,,,10,10,10,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 20:51:00+00:00,,10,16,0,,,,10,10,10,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 20:52:00+00:00,,10,16,0,,,,10,10,10,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 20:56:00+00:00,,10,16,0,,,,10,10,10,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 21:01:00+00:00,,10,16,0,,,,10,10,10,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 21:06:00+00:00,,10,16,0,,,,10,10,10,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 21:07:00+00:00,,10,16,0,,,,10,10,8,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 21:11:00+00:00,,10,16,0,,,,10,10,10,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 21:12:00+00:00,,10,16,0,,,,10,10,10,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 21:16:00+00:00,,10,16,0,,,,10,10,8,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 21:20:00+00:00,,10,16,0,,,,10,10,10,16,18,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 21:21:00+00:00,,10,16,0,,,,10,10,10,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 21:23:00+00:00,,10,16,0,,,,10,10,9,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 21:25:00+00:00,,9,16,0,,,,10,10,9,16,18,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 21:26:00+00:00,,8,16,0,,,,9,9,6,16,16,16,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 21:29:00+00:00,,8,13,0,,,,8,8,8,16,18,13,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 21:31:00+00:00,,8,13,0,,,,8,8,8,13,13,13,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 21:33:00+00:00,,8,13,0,,,,8,8,8,13,13,13,,KXHIGHMIA-25NOV10-B85.5
2025-11-09 21:36:00+00:00,,8,13,0,,,,8,8,8,13,13,13,,KXHIGHMIA-25NOV10-B85.5
