datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-23 14:01:00+00:00,,0,58,0,,,,0,0,0,58,58,58,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 14:02:00+00:00,,0,58,0,,,,0,0,0,58,58,58,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 14:05:00+00:00,,3,58,0,,,,0,3,0,58,58,58,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 14:08:00+00:00,,41,45,0,,,,3,41,3,58,58,45,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 14:18:00+00:00,,41,45,0,,,,41,41,41,45,45,45,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 14:23:00+00:00,,41,45,0,,,,41,41,41,45,45,45,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 14:33:00+00:00,,41,45,0,,,,41,41,41,45,45,45,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 14:37:00+00:00,,41,45,0,,,,41,41,25,45,45,45,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 14:41:00+00:00,,41,45,0,,,,41,41,39,45,45,45,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 14:55:00+00:00,,41,45,0,,,,41,41,41,45,45,45,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 15:02:00+00:00,,41,45,0,,,,41,41,41,45,45,45,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 15:08:00+00:00,,41,45,0,,,,41,41,41,45,45,45,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 15:31:00+00:00,,41,45,0,,,,41,41,41,45,45,45,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 15:32:00+00:00,,41,45,0,,,,41,41,41,45,45,45,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 15:41:00+00:00,,41,45,0,,,,41,41,39,45,45,45,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 15:44:00+00:00,,41,45,0,,,,41,41,41,45,45,45,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 15:45:00+00:00,,41,45,0,,,,41,41,41,45,45,45,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 15:55:00+00:00,,42,45,0,,,,41,42,41,45,45,45,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 16:00:00+00:00,,42,45,0,,,,42,42,42,45,45,45,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 16:48:00+00:00,47.0,43,47,104,45.0,47.0,45.0,42,43,42,45,47,45,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 16:49:00+00:00,,43,47,0,,,,43,43,43,47,47,47,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 16:52:00+00:00,,42,47,0,,,,43,43,42,47,47,47,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 16:53:00+00:00,,43,47,0,,,,42,43,42,47,47,47,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 16:55:00+00:00,,42,47,0,,,,43,43,42,47,47,47,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 16:59:00+00:00,,42,47,0,,,,42,42,42,47,48,47,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 17:00:00+00:00,,42,47,0,,,,42,42,42,47,47,47,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 17:02:00+00:00,,42,47,0,,,,42,42,42,47,47,47,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 17:03:00+00:00,,42,47,0,,,,42,42,42,47,47,47,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 17:10:00+00:00,,42,46,0,,,,42,42,42,47,47,46,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 17:11:00+00:00,,42,45,0,,,,42,42,42,46,46,45,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 17:12:00+00:00,,42,45,0,,,,42,42,42,45,45,45,,KXHIGHMIA-25OCT24-B85.5
2025-10-23 17:13:00+00:00,,42,45,0,,,,42,42,42,45,46,45,,KXHIGHMIA-25OCT24-B85.5
