datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-05 15:01:00+00:00,,0,63,0,,,,0,0,0,63,63,63,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:02:00+00:00,,10,41,0,,,,0,10,0,63,63,41,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:03:00+00:00,,10,40,0,,,,10,10,10,41,41,40,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:04:00+00:00,,10,40,0,,,,10,10,10,40,40,40,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:05:00+00:00,,20,41,0,,,,10,20,10,40,41,40,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:06:00+00:00,,22,41,0,,,,20,22,20,41,41,41,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:07:00+00:00,,39,41,0,,,,22,39,22,41,42,41,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:08:00+00:00,,39,41,0,,,,39,39,39,41,41,41,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:09:00+00:00,,39,41,0,,,,39,39,39,41,42,41,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:10:00+00:00,,39,41,0,,,,39,39,39,41,41,41,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:11:00+00:00,,39,41,0,,,,39,39,39,41,43,41,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:12:00+00:00,,39,41,0,,,,39,39,39,41,41,41,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:13:00+00:00,,39,41,0,,,,39,39,39,41,41,41,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:14:00+00:00,,39,40,0,,,,39,39,39,41,41,40,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:15:00+00:00,,39,40,0,,,,39,39,39,40,40,40,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:16:00+00:00,,39,40,0,,,,39,39,39,40,40,40,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:18:00+00:00,,39,40,0,,,,39,39,39,40,41,40,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:20:00+00:00,,39,40,0,,,,39,39,39,40,41,40,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:21:00+00:00,,39,40,0,,,,39,39,39,40,40,40,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:22:00+00:00,,39,43,0,,,,39,39,39,40,43,40,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:23:00+00:00,,39,41,0,,,,39,39,39,43,43,41,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:24:00+00:00,,39,40,0,,,,39,39,39,41,41,40,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:25:00+00:00,39.0,38,40,352,39.0,39.0,39.0,39,39,38,40,40,40,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:26:00+00:00,38.0,38,40,350,38.0,38.0,38.0,38,38,38,40,40,40,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:27:00+00:00,,38,39,0,,,,38,38,38,40,40,39,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:28:00+00:00,,38,39,0,,,,38,38,38,39,39,39,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:29:00+00:00,,24,40,0,,,,38,38,24,39,40,39,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:30:00+00:00,,24,40,0,,,,24,24,24,40,40,40,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:31:00+00:00,,24,40,0,,,,24,24,24,40,40,40,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:32:00+00:00,,24,40,0,,,,24,24,24,40,40,40,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:33:00+00:00,,24,40,0,,,,24,24,24,40,40,40,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:34:00+00:00,,24,40,0,,,,24,24,24,40,40,40,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:35:00+00:00,,24,41,0,,,,24,24,24,40,41,40,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:36:00+00:00,,24,40,0,,,,24,24,24,41,41,40,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:37:00+00:00,,26,39,0,,,,24,26,24,40,40,39,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:38:00+00:00,,26,39,0,,,,26,26,26,39,39,39,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:39:00+00:00,,26,39,0,,,,26,26,26,39,39,39,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:40:00+00:00,,26,39,0,,,,26,26,26,39,39,39,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:41:00+00:00,,26,39,0,,,,26,26,26,39,39,39,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:42:00+00:00,,26,39,0,,,,26,26,26,39,39,39,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:43:00+00:00,,26,39,0,,,,26,26,26,39,39,39,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:44:00+00:00,,25,39,0,,,,26,26,25,39,39,39,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:45:00+00:00,24.0,25,37,25,24.0,24.0,24.0,25,25,24,39,39,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:46:00+00:00,,25,37,0,,,,25,25,25,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:47:00+00:00,,25,38,0,,,,25,25,25,37,38,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:48:00+00:00,,25,38,0,,,,25,25,25,38,38,38,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:50:00+00:00,,25,38,0,,,,25,25,25,38,38,38,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:51:00+00:00,38.0,26,38,25,38.0,38.0,38.0,25,26,25,38,38,38,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:52:00+00:00,,26,38,0,,,,26,26,26,38,38,38,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:53:00+00:00,,26,38,0,,,,26,26,26,38,38,38,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:54:00+00:00,,27,37,0,,,,26,27,26,38,40,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:55:00+00:00,,27,37,0,,,,27,27,27,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:56:00+00:00,,27,37,0,,,,27,27,27,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:57:00+00:00,,27,37,0,,,,27,27,27,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:58:00+00:00,,27,37,0,,,,27,27,27,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 15:59:00+00:00,,27,37,0,,,,27,27,27,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:00:00+00:00,,27,37,0,,,,27,27,27,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:01:00+00:00,,27,37,0,,,,27,27,27,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:02:00+00:00,,27,36,0,,,,27,27,27,37,37,36,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:03:00+00:00,,28,36,0,,,,27,28,27,36,36,36,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:04:00+00:00,36.0,28,36,53,36.0,36.0,36.0,28,28,28,36,36,36,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:05:00+00:00,,28,34,0,,,,28,28,28,36,36,34,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:06:00+00:00,,28,33,0,,,,28,28,28,34,34,33,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:07:00+00:00,,28,33,0,,,,28,28,28,33,33,33,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:08:00+00:00,,28,37,0,,,,28,28,28,33,38,33,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:09:00+00:00,,28,37,0,,,,28,28,28,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:10:00+00:00,,28,37,0,,,,28,28,28,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:11:00+00:00,28.0,28,36,22,28.0,28.0,28.0,28,28,28,37,37,36,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:12:00+00:00,,28,36,0,,,,28,28,28,36,36,36,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:13:00+00:00,,28,38,0,,,,28,28,28,36,38,36,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:14:00+00:00,,28,38,0,,,,28,28,28,38,38,38,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:15:00+00:00,,28,38,0,,,,28,28,28,38,38,38,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:16:00+00:00,,28,36,0,,,,28,28,28,38,38,36,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:17:00+00:00,,28,36,0,,,,28,28,28,36,36,36,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:18:00+00:00,,27,36,0,,,,28,28,27,36,38,36,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:19:00+00:00,,27,36,0,,,,27,27,27,36,36,36,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:20:00+00:00,,27,36,0,,,,27,27,27,36,38,36,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:22:00+00:00,,27,36,0,,,,27,27,27,36,38,36,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:23:00+00:00,,27,36,0,,,,27,27,27,36,36,36,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:24:00+00:00,,27,36,0,,,,27,27,27,36,38,36,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:26:00+00:00,,27,36,0,,,,27,27,27,36,38,36,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:28:00+00:00,,27,36,0,,,,27,27,27,36,38,36,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:29:00+00:00,,27,36,0,,,,27,27,27,36,36,36,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:30:00+00:00,,28,36,0,,,,27,28,27,36,38,36,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:32:00+00:00,,28,38,0,,,,28,28,28,36,38,36,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:33:00+00:00,,28,38,0,,,,28,28,28,38,38,38,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:34:00+00:00,,28,38,0,,,,28,28,28,38,38,38,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:35:00+00:00,,28,38,0,,,,28,28,28,38,38,38,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:36:00+00:00,,29,37,0,,,,28,29,28,38,38,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:37:00+00:00,,29,37,0,,,,29,29,29,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:38:00+00:00,,29,37,0,,,,29,29,29,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:39:00+00:00,,29,37,0,,,,29,29,29,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:40:00+00:00,,30,37,0,,,,29,30,29,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:41:00+00:00,,30,37,0,,,,30,30,30,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:42:00+00:00,,30,37,0,,,,30,30,30,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:43:00+00:00,,30,37,0,,,,30,30,30,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:44:00+00:00,,30,37,0,,,,30,30,30,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:45:00+00:00,,30,37,0,,,,30,30,30,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:46:00+00:00,,30,37,0,,,,30,30,30,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:47:00+00:00,,30,37,0,,,,30,30,30,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:48:00+00:00,,28,37,0,,,,30,30,28,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:49:00+00:00,,28,37,0,,,,28,28,28,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:50:00+00:00,,29,37,0,,,,28,29,28,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:51:00+00:00,,29,37,0,,,,29,29,29,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:52:00+00:00,,32,37,0,,,,29,32,29,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:53:00+00:00,32.0,33,37,1,32.0,32.0,32.0,32,33,32,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:54:00+00:00,,34,37,0,,,,33,34,33,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:55:00+00:00,,34,37,0,,,,34,34,34,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:56:00+00:00,,34,37,0,,,,34,35,34,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:57:00+00:00,,34,38,0,,,,34,34,34,37,38,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:58:00+00:00,38.0,30,38,229,38.0,38.0,38.0,34,34,30,38,38,38,,KXHIGHNY-25NOV06-B53.5
2025-11-05 16:59:00+00:00,,31,37,0,,,,30,31,30,38,38,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:00:00+00:00,,31,37,0,,,,31,31,31,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:02:00+00:00,,31,37,0,,,,31,31,31,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:03:00+00:00,,31,37,0,,,,31,31,31,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:04:00+00:00,,31,37,0,,,,31,31,31,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:05:00+00:00,,30,38,0,,,,31,31,30,37,38,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:06:00+00:00,,30,38,0,,,,30,30,30,38,38,38,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:07:00+00:00,,30,38,0,,,,30,30,30,38,38,38,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:08:00+00:00,,31,38,0,,,,30,31,30,38,38,38,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:09:00+00:00,,35,38,0,,,,31,35,31,38,38,38,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:10:00+00:00,,35,37,0,,,,35,35,35,38,38,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:11:00+00:00,,35,37,0,,,,35,35,35,37,38,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:12:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:13:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:14:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:15:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:17:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:19:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:21:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:22:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:23:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:24:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:25:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:26:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:27:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:28:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:29:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:30:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:31:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:32:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:33:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:35:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:36:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:37:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:38:00+00:00,35.0,30,37,27,35.0,35.0,35.0,35,35,30,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:39:00+00:00,,30,37,0,,,,30,30,30,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:40:00+00:00,37.0,31,37,2,37.0,37.0,37.0,30,31,30,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:41:00+00:00,,31,36,0,,,,31,31,31,37,37,36,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:42:00+00:00,,28,34,0,,,,31,31,28,36,36,34,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:43:00+00:00,,28,34,0,,,,28,28,28,34,34,34,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:44:00+00:00,,29,34,0,,,,28,29,28,34,37,34,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:45:00+00:00,,29,34,0,,,,29,29,29,34,34,34,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:46:00+00:00,,29,34,0,,,,29,29,29,34,37,34,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:47:00+00:00,,29,33,0,,,,29,29,29,34,34,33,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:48:00+00:00,,29,33,0,,,,29,29,29,33,33,33,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:49:00+00:00,,29,33,0,,,,29,29,29,33,33,33,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:50:00+00:00,,29,33,0,,,,29,29,29,33,33,33,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:51:00+00:00,,29,37,0,,,,29,29,29,33,37,33,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:52:00+00:00,,29,37,0,,,,29,29,29,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:53:00+00:00,,29,36,0,,,,29,29,29,37,37,36,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:54:00+00:00,,29,35,0,,,,29,29,29,36,36,35,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:55:00+00:00,,29,35,0,,,,29,29,29,35,35,35,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:56:00+00:00,,29,37,0,,,,29,29,29,35,37,35,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:57:00+00:00,,29,37,0,,,,29,29,29,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:58:00+00:00,,29,37,0,,,,29,29,29,37,37,37,,KXHIGHNY-25NOV06-B53.5
2025-11-05 17:59:00+00:00,,29,35,0,,,,29,29,29,37,37,35,,KXHIGHNY-25NOV06-B53.5
2025-11-05 18:00:00+00:00,,29,35,0,,,,29,29,29,35,35,35,,KXHIGHNY-25NOV06-B53.5
