datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-11 14:01:00+00:00,,0,63,0,,,,0,0,0,63,63,63,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:02:00+00:00,,25,42,0,,,,0,25,0,63,63,42,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:03:00+00:00,,25,42,0,,,,25,25,25,42,42,42,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:04:00+00:00,,25,42,0,,,,25,25,25,42,42,42,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:05:00+00:00,,25,42,0,,,,25,25,25,42,42,42,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:06:00+00:00,,25,42,0,,,,25,25,25,42,44,42,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:07:00+00:00,,33,42,0,,,,25,33,25,42,42,42,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:08:00+00:00,,33,43,0,,,,33,33,33,42,43,42,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:09:00+00:00,,33,42,0,,,,33,33,33,43,43,42,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:10:00+00:00,,33,42,0,,,,33,33,33,42,42,42,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:11:00+00:00,,33,42,0,,,,33,33,33,42,43,42,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:12:00+00:00,,33,42,0,,,,33,33,33,42,42,42,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:13:00+00:00,,33,42,0,,,,33,33,33,42,42,42,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:14:00+00:00,42.0,33,43,61,42.0,42.0,42.0,33,33,33,42,51,42,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:15:00+00:00,,33,43,0,,,,33,33,33,43,43,43,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:16:00+00:00,,33,46,0,,,,33,33,33,43,46,43,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:17:00+00:00,,33,46,0,,,,33,33,33,46,46,46,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:18:00+00:00,,34,46,0,,,,33,34,33,46,47,46,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:19:00+00:00,,34,46,0,,,,34,34,34,46,46,46,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:20:00+00:00,,34,46,0,,,,34,34,34,46,46,46,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:21:00+00:00,,35,46,0,,,,34,35,34,46,46,46,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:22:00+00:00,,35,46,0,,,,35,35,35,46,46,46,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:23:00+00:00,,35,46,0,,,,35,35,35,46,46,46,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:24:00+00:00,,35,46,0,,,,35,35,35,46,46,46,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:25:00+00:00,,36,45,0,,,,35,36,35,46,47,45,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:26:00+00:00,35.0,35,36,176,36.0,36.0,35.0,36,36,35,45,45,36,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:27:00+00:00,,35,36,0,,,,35,35,35,36,36,36,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:28:00+00:00,35.0,35,37,6,35.0,35.0,35.0,35,35,35,36,45,36,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:29:00+00:00,,35,37,0,,,,35,35,35,37,37,37,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:30:00+00:00,37.0,32,38,220,37.0,37.0,37.0,35,35,25,37,45,37,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:31:00+00:00,,32,38,0,,,,32,32,32,38,38,38,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:32:00+00:00,,33,38,0,,,,32,33,32,38,38,38,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:33:00+00:00,,34,38,0,,,,33,34,33,38,38,38,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:34:00+00:00,,35,38,0,,,,34,35,34,38,38,38,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:35:00+00:00,,35,38,0,,,,35,35,35,38,38,38,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:36:00+00:00,,32,38,0,,,,35,35,32,38,38,38,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:37:00+00:00,,32,38,0,,,,32,32,32,38,40,38,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:38:00+00:00,,32,38,0,,,,32,32,32,38,38,38,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:39:00+00:00,,32,38,0,,,,32,32,32,38,38,38,,KXHIGHNY-25OCT12-B61.5
2025-10-11 14:40:00+00:00,,33,38,0,,,,32,33,32,38,40,38,,KXHIGHNY-25OCT12-B61.5
