datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-19 14:01:00+00:00,63.0,0,63,18,63.0,63.0,63.0,0,0,0,63,63,63,,KXHIGHNY-25OCT20-T64
2025-10-19 14:03:00+00:00,,0,63,0,,,,0,0,0,63,63,63,,KXHIGHNY-25OCT20-T64
2025-10-19 14:05:00+00:00,,0,63,0,,,,0,0,0,63,63,63,,KXHIGHNY-25OCT20-T64
2025-10-19 14:07:00+00:00,,0,63,0,,,,0,0,0,63,63,63,,KXHIGHNY-25OCT20-T64
2025-10-19 14:08:00+00:00,,0,4,0,,,,0,0,0,63,63,4,,KXHIGHNY-25OCT20-T64
2025-10-19 14:09:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXHIGHNY-25OCT20-T64
2025-10-19 14:10:00+00:00,,0,4,0,,,,0,0,0,4,4,4,,KXHIGHNY-25OCT20-T64
2025-10-19 14:12:00+00:00,,0,6,0,,,,0,0,0,4,6,4,,KXHIGHNY-25OCT20-T64
2025-10-19 14:13:00+00:00,,0,31,0,,,,0,0,0,6,63,6,,KXHIGHNY-25OCT20-T64
2025-10-19 14:14:00+00:00,,0,7,0,,,,0,0,0,31,31,5,,KXHIGHNY-25OCT20-T64
2025-10-19 14:15:00+00:00,,0,32,0,,,,0,0,0,7,63,7,,KXHIGHNY-25OCT20-T64
2025-10-19 14:16:00+00:00,,0,5,0,,,,0,0,0,32,32,5,,KXHIGHNY-25OCT20-T64
2025-10-19 14:17:00+00:00,,0,5,0,,,,0,0,0,5,5,5,,KXHIGHNY-25OCT20-T64
2025-10-19 14:18:00+00:00,,0,5,0,,,,0,0,0,5,5,5,,KXHIGHNY-25OCT20-T64
2025-10-19 14:19:00+00:00,,0,5,0,,,,0,0,0,5,5,5,,KXHIGHNY-25OCT20-T64
2025-10-19 14:20:00+00:00,,0,5,0,,,,0,0,0,5,5,5,,KXHIGHNY-25OCT20-T64
2025-10-19 14:21:00+00:00,,0,5,0,,,,0,0,0,5,5,5,,KXHIGHNY-25OCT20-T64
2025-10-19 14:22:00+00:00,,0,5,0,,,,0,0,0,5,5,5,,KXHIGHNY-25OCT20-T64
2025-10-19 14:23:00+00:00,,0,5,0,,,,0,0,0,5,5,5,,KXHIGHNY-25OCT20-T64
2025-10-19 14:24:00+00:00,5.0,0,5,5,5.0,5.0,5.0,0,0,0,5,5,5,,KXHIGHNY-25OCT20-T64
2025-10-19 14:25:00+00:00,,0,5,0,,,,0,0,0,5,5,5,,KXHIGHNY-25OCT20-T64
2025-10-19 14:27:00+00:00,,0,5,0,,,,0,0,0,5,5,5,,KXHIGHNY-25OCT20-T64
2025-10-19 14:28:00+00:00,5.0,0,5,18,5.0,5.0,5.0,0,0,0,5,5,5,,KXHIGHNY-25OCT20-T64
2025-10-19 14:29:00+00:00,,0,5,0,,,,0,0,0,5,5,5,,KXHIGHNY-25OCT20-T64
2025-10-19 14:31:00+00:00,,0,5,0,,,,0,0,0,5,5,5,,KXHIGHNY-25OCT20-T64
2025-10-19 14:32:00+00:00,,0,5,0,,,,0,0,0,5,5,5,,KXHIGHNY-25OCT20-T64
2025-10-19 14:33:00+00:00,,0,7,0,,,,0,0,0,5,7,5,,KXHIGHNY-25OCT20-T64
2025-10-19 14:34:00+00:00,,1,7,0,,,,0,1,0,7,7,7,,KXHIGHNY-25OCT20-T64
2025-10-19 14:35:00+00:00,,1,7,0,,,,1,1,0,7,7,7,,KXHIGHNY-25OCT20-T64
2025-10-19 14:37:00+00:00,,1,7,0,,,,1,1,1,7,7,7,,KXHIGHNY-25OCT20-T64
2025-10-19 14:38:00+00:00,,1,7,0,,,,1,1,1,7,7,7,,KXHIGHNY-25OCT20-T64
2025-10-19 14:39:00+00:00,,1,7,0,,,,1,1,1,7,7,7,,KXHIGHNY-25OCT20-T64
2025-10-19 14:40:00+00:00,,1,7,0,,,,1,1,1,7,7,7,,KXHIGHNY-25OCT20-T64
2025-10-19 14:41:00+00:00,,1,7,0,,,,1,1,1,7,7,7,,KXHIGHNY-25OCT20-T64
2025-10-19 14:42:00+00:00,,1,7,0,,,,1,1,1,7,7,7,,KXHIGHNY-25OCT20-T64
2025-10-19 14:43:00+00:00,,1,7,0,,,,1,1,1,7,7,7,,KXHIGHNY-25OCT20-T64
2025-10-19 14:44:00+00:00,,1,7,0,,,,1,1,1,7,7,7,,KXHIGHNY-25OCT20-T64
2025-10-19 14:45:00+00:00,,1,7,0,,,,1,1,1,7,7,7,,KXHIGHNY-25OCT20-T64
2025-10-19 14:46:00+00:00,,1,7,0,,,,1,1,1,7,7,7,,KXHIGHNY-25OCT20-T64
2025-10-19 14:47:00+00:00,,1,7,0,,,,1,1,1,7,7,7,,KXHIGHNY-25OCT20-T64
2025-10-19 14:48:00+00:00,,1,7,0,,,,1,1,1,7,7,7,,KXHIGHNY-25OCT20-T64
2025-10-19 14:49:00+00:00,,1,7,0,,,,1,1,1,7,7,7,,KXHIGHNY-25OCT20-T64
2025-10-19 14:50:00+00:00,,1,7,0,,,,1,1,1,7,7,7,,KXHIGHNY-25OCT20-T64
