datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2024-12-06 21:37:00+00:00,,19,21,0,,,,20,20,19,22,22,21,,KXHMONTH-24DEC
2024-12-06 23:32:00+00:00,,19,20,0,,,,19,19,19,21,21,20,,KXHMONTH-24DEC
2024-12-06 23:33:00+00:00,,17,19,0,,,,19,19,17,20,20,19,,KXHMONTH-24DEC
2024-12-07 00:34:00+00:00,20.0,17,19,24,19.0,20.0,19.0,17,17,17,19,20,19,,KXHMONTH-24DEC
2024-12-07 02:34:00+00:00,,17,20,0,,,,17,17,17,19,20,19,,KXHMONTH-24DEC
2024-12-07 02:48:00+00:00,20.0,17,20,23,20.0,20.0,20.0,17,17,17,20,20,20,,KXHMONTH-24DEC
2024-12-07 05:00:00+00:00,,17,22,0,,,,17,17,17,20,22,20,,KXHMONTH-24DEC
2024-12-07 05:03:00+00:00,,18,21,0,,,,17,18,17,22,22,21,,KXHMONTH-24DEC
2024-12-07 05:09:00+00:00,,17,22,0,,,,18,18,17,21,22,21,,KXHMONTH-24DEC
2024-12-07 05:21:00+00:00,,18,21,0,,,,17,18,17,22,22,21,,KXHMONTH-24DEC
2024-12-07 05:24:00+00:00,,17,22,0,,,,18,18,17,21,22,21,,KXHMONTH-24DEC
2024-12-07 05:36:00+00:00,,18,21,0,,,,17,18,17,22,22,21,,KXHMONTH-24DEC
2024-12-07 05:41:00+00:00,,17,22,0,,,,18,18,17,21,22,21,,KXHMONTH-24DEC
2024-12-07 05:52:00+00:00,,18,21,0,,,,17,18,17,22,22,21,,KXHMONTH-24DEC
2024-12-07 05:57:00+00:00,,17,22,0,,,,18,18,17,21,22,21,,KXHMONTH-24DEC
2024-12-07 06:03:00+00:00,,17,20,0,,,,17,17,17,22,22,20,,KXHMONTH-24DEC
2024-12-07 07:34:00+00:00,,16,20,0,,,,17,17,16,20,20,20,,KXHMONTH-24DEC
2024-12-07 14:24:00+00:00,,17,19,0,,,,16,17,16,20,20,19,,KXHMONTH-24DEC
2024-12-07 14:29:00+00:00,,16,20,0,,,,17,17,16,19,20,19,,KXHMONTH-24DEC
2024-12-07 14:40:00+00:00,,17,19,0,,,,16,17,16,20,20,19,,KXHMONTH-24DEC
2024-12-07 14:44:00+00:00,,16,20,0,,,,17,17,16,19,20,19,,KXHMONTH-24DEC
2024-12-07 14:45:00+00:00,,17,19,0,,,,16,17,16,20,20,19,,KXHMONTH-24DEC
2024-12-07 14:49:00+00:00,,16,20,0,,,,17,17,16,19,20,19,,KXHMONTH-24DEC
2024-12-07 15:00:00+00:00,,17,19,0,,,,16,17,16,20,20,19,,KXHMONTH-24DEC
2024-12-07 15:05:00+00:00,,16,20,0,,,,17,17,16,19,20,19,,KXHMONTH-24DEC
2024-12-07 15:16:00+00:00,,17,19,0,,,,16,17,16,20,20,19,,KXHMONTH-24DEC
2024-12-07 15:22:00+00:00,,16,20,0,,,,17,17,16,19,20,19,,KXHMONTH-24DEC
2024-12-07 15:32:00+00:00,,17,19,0,,,,16,17,16,20,20,19,,KXHMONTH-24DEC
2024-12-07 15:34:00+00:00,,16,20,0,,,,17,17,16,19,20,19,,KXHMONTH-24DEC
2024-12-07 15:35:00+00:00,,17,19,0,,,,16,17,16,20,20,19,,KXHMONTH-24DEC
2024-12-07 15:39:00+00:00,,16,20,0,,,,17,17,16,19,20,19,,KXHMONTH-24DEC
2024-12-07 15:50:00+00:00,,17,19,0,,,,16,17,16,20,20,19,,KXHMONTH-24DEC
2024-12-07 15:55:00+00:00,,16,20,0,,,,17,17,16,19,20,19,,KXHMONTH-24DEC
2024-12-07 16:06:00+00:00,,17,19,0,,,,16,17,16,20,20,19,,KXHMONTH-24DEC
2024-12-07 16:11:00+00:00,,16,20,0,,,,17,17,16,19,20,19,,KXHMONTH-24DEC
