datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-01-24 21:47:00+00:00,,1,100,0,,,,1,1,1,100,100,100,,KXHMONTH-25FEB
2025-01-25 00:37:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXHMONTH-25FEB
2025-01-25 00:38:00+00:00,,1,98,0,,,,1,1,1,99,99,98,,KXHMONTH-25FEB
2025-01-25 02:16:00+00:00,,2,98,0,,,,1,2,1,98,98,98,,KXHMONTH-25FEB
2025-01-25 21:59:00+00:00,,3,98,0,,,,2,3,2,98,98,98,,KXHMONTH-25FEB
2025-01-26 01:43:00+00:00,,4,98,0,,,,3,4,3,98,98,98,,KXHMONTH-25FEB
2025-01-26 05:46:00+00:00,,4,95,0,,,,4,4,4,98,98,95,,KXHMONTH-25FEB
2025-01-26 16:22:00+00:00,4.0,4,95,1,4.0,4.0,4.0,4,4,4,95,95,95,,KXHMONTH-25FEB
2025-01-26 23:08:00+00:00,,5,95,0,,,,4,5,4,95,95,95,,KXHMONTH-25FEB
2025-01-27 01:18:00+00:00,,5,70,0,,,,5,5,5,95,95,50,,KXHMONTH-25FEB
2025-01-27 01:19:00+00:00,,5,94,0,,,,5,5,5,70,94,70,,KXHMONTH-25FEB
2025-01-27 05:45:00+00:00,,5,93,0,,,,5,5,5,94,94,93,,KXHMONTH-25FEB
2025-01-27 06:11:00+00:00,,5,90,0,,,,5,5,5,93,93,90,,KXHMONTH-25FEB
2025-01-28 02:27:00+00:00,,6,90,0,,,,5,6,5,90,90,90,,KXHMONTH-25FEB
2025-01-28 02:34:00+00:00,,7,85,0,,,,6,7,6,90,90,85,,KXHMONTH-25FEB
2025-01-28 06:16:00+00:00,,7,84,0,,,,7,7,7,85,85,84,,KXHMONTH-25FEB
2025-01-28 06:17:00+00:00,,8,84,0,,,,7,8,7,84,84,84,,KXHMONTH-25FEB
2025-01-28 16:36:00+00:00,,9,80,0,,,,8,9,8,84,84,80,,KXHMONTH-25FEB
2025-01-28 17:45:00+00:00,,10,80,0,,,,9,10,9,80,80,80,,KXHMONTH-25FEB
2025-01-28 18:04:00+00:00,,10,79,0,,,,10,10,10,80,80,79,,KXHMONTH-25FEB
2025-01-28 21:26:00+00:00,,11,75,0,,,,10,11,10,79,79,75,,KXHMONTH-25FEB
2025-01-28 21:28:00+00:00,,12,75,0,,,,11,12,11,75,75,75,,KXHMONTH-25FEB
2025-01-28 21:36:00+00:00,,15,75,0,,,,12,15,12,75,75,75,,KXHMONTH-25FEB
2025-01-29 02:56:00+00:00,,16,75,0,,,,15,16,15,75,75,75,,KXHMONTH-25FEB
2025-01-29 14:14:00+00:00,,17,75,0,,,,16,17,16,75,75,75,,KXHMONTH-25FEB
2025-01-29 17:09:00+00:00,,18,70,0,,,,17,18,17,75,75,70,,KXHMONTH-25FEB
2025-01-29 20:02:00+00:00,,19,70,0,,,,18,19,18,70,70,70,,KXHMONTH-25FEB
2025-01-30 00:26:00+00:00,,20,70,0,,,,19,20,19,70,70,70,,KXHMONTH-25FEB
2025-01-30 23:12:00+00:00,,21,70,0,,,,20,21,20,70,70,70,,KXHMONTH-25FEB
2025-01-31 04:21:00+00:00,,22,70,0,,,,21,22,21,70,70,70,,KXHMONTH-25FEB
2025-01-31 04:43:00+00:00,,21,70,0,,,,22,22,21,70,70,70,,KXHMONTH-25FEB
2025-01-31 04:44:00+00:00,,22,70,0,,,,21,22,21,70,70,70,,KXHMONTH-25FEB
2025-01-31 07:07:00+00:00,,35,45,0,,,,22,35,22,70,70,45,,KXHMONTH-25FEB
2025-01-31 13:13:00+00:00,,36,45,0,,,,35,36,35,45,45,45,,KXHMONTH-25FEB
2025-01-31 18:16:00+00:00,36.0,36,45,1981,36.0,36.0,36.0,36,36,36,45,45,45,,KXHMONTH-25FEB
2025-01-31 18:19:00+00:00,,36,44,0,,,,36,36,36,45,45,44,,KXHMONTH-25FEB
2025-01-31 18:30:00+00:00,35.0,33,44,225,36.0,36.0,35.0,36,36,33,44,44,44,,KXHMONTH-25FEB
2025-01-31 18:31:00+00:00,,34,44,0,,,,33,34,33,44,44,44,,KXHMONTH-25FEB
2025-01-31 18:34:00+00:00,,35,43,0,,,,34,35,34,44,44,43,,KXHMONTH-25FEB
2025-01-31 18:40:00+00:00,,35,43,0,,,,35,35,34,43,44,43,,KXHMONTH-25FEB
2025-01-31 18:46:00+00:00,,35,43,0,,,,35,35,34,43,44,43,,KXHMONTH-25FEB
2025-01-31 18:52:00+00:00,,35,43,0,,,,35,35,34,43,44,43,,KXHMONTH-25FEB
2025-01-31 18:58:00+00:00,,34,43,0,,,,35,35,34,43,43,43,,KXHMONTH-25FEB
2025-01-31 19:14:00+00:00,33.0,33,43,1473,34.0,34.0,33.0,34,34,33,43,43,43,,KXHMONTH-25FEB
2025-01-31 19:17:00+00:00,,34,42,0,,,,33,34,33,43,43,42,,KXHMONTH-25FEB
