datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2024-12-25 06:48:00+00:00,,5,100,0,,,,5,5,5,100,100,100,,KXHMONTH-25JAN
2024-12-30 05:42:00+00:00,5.0,5,100,5,5.0,5.0,5.0,5,5,5,100,100,100,,KXHMONTH-25JAN
2024-12-30 05:43:00+00:00,,5,30,0,,,,5,5,5,100,100,30,,KXHMONTH-25JAN
2024-12-30 05:52:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 05:58:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 06:05:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 06:12:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 06:18:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 06:19:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 06:25:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 06:26:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 06:32:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 06:39:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 06:45:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 06:46:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 06:52:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 06:53:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 06:59:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 07:00:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 07:06:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 07:13:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 07:19:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 07:20:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 07:26:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 07:27:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 07:33:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 07:40:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 07:46:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 07:47:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 07:53:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 07:54:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 08:00:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 13:06:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 13:12:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 13:19:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 13:25:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 13:26:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 13:32:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 13:33:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 13:39:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 13:46:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 13:53:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 13:59:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 14:00:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 14:06:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 14:07:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 14:13:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 14:19:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 14:20:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 14:26:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 14:33:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 14:39:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 14:40:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 14:46:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 14:53:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 14:59:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 15:00:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 15:06:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 15:13:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 15:19:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 15:20:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 15:26:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 15:32:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 15:33:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 15:39:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 15:40:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 15:46:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 15:52:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 15:53:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 15:59:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 16:06:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 16:12:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 16:13:00+00:00,,6,29,0,,,,5,6,5,30,30,29,,KXHMONTH-25JAN
2024-12-30 16:19:00+00:00,,6,29,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
2024-12-30 16:25:00+00:00,,5,30,0,,,,6,6,5,29,30,29,,KXHMONTH-25JAN
