datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-06-14 14:01:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXHMONTH-25JUL
2025-06-14 14:02:00+00:00,,1,50,0,,,,1,1,1,99,99,50,,KXHMONTH-25JUL
2025-06-14 14:03:00+00:00,,18,22,0,,,,1,18,1,50,50,22,,KXHMONTH-25JUL
2025-06-14 14:04:00+00:00,,18,22,0,,,,18,18,18,22,22,22,,KXHMONTH-25JUL
2025-06-14 14:17:00+00:00,,18,20,0,,,,18,18,18,22,22,20,,KXHMONTH-25JUL
2025-06-14 14:42:00+00:00,,18,20,0,,,,18,18,18,20,20,20,,KXHMONTH-25JUL
2025-06-14 14:55:00+00:00,,18,20,0,,,,18,18,18,20,20,20,,KXHMONTH-25JUL
2025-06-14 15:09:00+00:00,20.0,19,20,4,20.0,20.0,20.0,18,19,14,20,20,20,,KXHMONTH-25JUL
2025-06-14 15:17:00+00:00,,19,20,0,,,,19,19,19,20,20,20,,KXHMONTH-25JUL
2025-06-14 15:52:00+00:00,,19,20,0,,,,19,19,19,20,20,20,,KXHMONTH-25JUL
2025-06-14 16:55:00+00:00,,19,20,0,,,,19,19,19,20,20,20,,KXHMONTH-25JUL
2025-06-14 17:28:00+00:00,,19,20,0,,,,19,19,19,20,20,20,,KXHMONTH-25JUL
2025-06-14 17:39:00+00:00,,19,20,0,,,,19,19,19,20,20,20,,KXHMONTH-25JUL
2025-06-14 17:58:00+00:00,,19,20,0,,,,19,19,19,20,20,20,,KXHMONTH-25JUL
2025-06-14 18:17:00+00:00,,19,20,0,,,,19,19,19,20,20,20,,KXHMONTH-25JUL
2025-06-14 18:27:00+00:00,,19,20,0,,,,19,19,19,20,20,20,,KXHMONTH-25JUL
2025-06-14 18:37:00+00:00,,19,20,0,,,,19,19,19,20,20,20,,KXHMONTH-25JUL
2025-06-14 18:38:00+00:00,,19,20,0,,,,19,19,19,20,20,20,,KXHMONTH-25JUL
2025-06-14 18:57:00+00:00,,19,20,0,,,,19,19,19,20,20,20,,KXHMONTH-25JUL
2025-06-14 19:16:00+00:00,,19,20,0,,,,19,19,19,20,20,20,,KXHMONTH-25JUL
2025-06-14 19:34:00+00:00,20.0,19,20,94,20.0,20.0,20.0,19,19,19,20,20,20,,KXHMONTH-25JUL
2025-06-14 19:53:00+00:00,,19,20,0,,,,19,19,19,20,20,20,,KXHMONTH-25JUL
2025-06-14 20:13:00+00:00,,19,20,0,,,,19,19,19,20,20,20,,KXHMONTH-25JUL
2025-06-14 20:14:00+00:00,21.0,19,22,36,20.0,21.0,20.0,19,19,19,20,26,20,,KXHMONTH-25JUL
2025-06-14 20:34:00+00:00,,19,22,0,,,,19,19,19,22,22,22,,KXHMONTH-25JUL
2025-06-14 20:54:00+00:00,,19,22,0,,,,19,19,19,22,22,22,,KXHMONTH-25JUL
2025-06-14 21:14:00+00:00,,19,22,0,,,,19,19,19,22,22,22,,KXHMONTH-25JUL
2025-06-14 21:35:00+00:00,,19,22,0,,,,19,19,19,22,22,22,,KXHMONTH-25JUL
2025-06-14 21:40:00+00:00,,19,22,0,,,,19,19,19,22,22,22,,KXHMONTH-25JUL
2025-06-14 21:55:00+00:00,,19,22,0,,,,19,19,19,22,22,22,,KXHMONTH-25JUL
2025-06-14 22:15:00+00:00,,19,22,0,,,,19,19,19,22,22,22,,KXHMONTH-25JUL
2025-06-14 22:35:00+00:00,,19,22,0,,,,19,19,19,22,22,22,,KXHMONTH-25JUL
2025-06-14 22:55:00+00:00,,19,22,0,,,,19,19,19,22,22,22,,KXHMONTH-25JUL
2025-06-14 23:01:00+00:00,,19,21,0,,,,19,19,19,22,22,21,,KXHMONTH-25JUL
2025-06-14 23:15:00+00:00,,19,21,0,,,,19,19,19,21,21,21,,KXHMONTH-25JUL
2025-06-14 23:35:00+00:00,,19,21,0,,,,19,19,19,21,21,21,,KXHMONTH-25JUL
2025-06-14 23:54:00+00:00,,19,21,0,,,,19,19,19,21,21,21,,KXHMONTH-25JUL
2025-06-15 00:14:00+00:00,,19,21,0,,,,19,19,19,21,21,21,,KXHMONTH-25JUL
2025-06-15 00:16:00+00:00,19.0,19,21,1,19.0,19.0,19.0,19,19,17,21,21,21,,KXHMONTH-25JUL
2025-06-15 00:21:00+00:00,21.0,19,21,4,21.0,21.0,21.0,19,19,19,21,21,21,,KXHMONTH-25JUL
2025-06-15 00:23:00+00:00,,19,22,0,,,,19,19,19,21,22,21,,KXHMONTH-25JUL
2025-06-15 00:40:00+00:00,,19,22,0,,,,19,19,19,22,22,22,,KXHMONTH-25JUL
2025-06-15 01:00:00+00:00,,19,22,0,,,,19,19,19,22,22,22,,KXHMONTH-25JUL
2025-06-15 01:19:00+00:00,,19,22,0,,,,19,19,19,22,22,22,,KXHMONTH-25JUL
2025-06-15 01:39:00+00:00,,19,22,0,,,,19,19,19,22,22,22,,KXHMONTH-25JUL
2025-06-15 01:58:00+00:00,,19,22,0,,,,19,19,19,22,22,22,,KXHMONTH-25JUL
2025-06-15 02:18:00+00:00,,19,22,0,,,,19,19,19,22,22,22,,KXHMONTH-25JUL
2025-06-15 02:28:00+00:00,,19,22,0,,,,19,19,19,22,22,22,,KXHMONTH-25JUL
2025-06-15 02:30:00+00:00,,19,22,0,,,,19,19,19,22,22,22,,KXHMONTH-25JUL
2025-06-15 02:33:00+00:00,22.0,19,21,9,22.0,22.0,22.0,19,19,19,22,22,21,,KXHMONTH-25JUL
2025-06-15 02:53:00+00:00,,19,21,0,,,,19,19,19,21,21,21,,KXHMONTH-25JUL
