datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-08-20 14:01:00+00:00,,71,81,0,,,,67,71,67,100,100,81,,KXRAINNYC-25AUG21-T0
2025-08-20 14:13:00+00:00,,71,81,0,,,,71,71,71,81,81,81,,KXRAINNYC-25AUG21-T0
2025-08-20 14:28:00+00:00,,65,75,0,,,,71,71,15,81,100,75,,KXRAINNYC-25AUG21-T0
2025-08-20 14:36:00+00:00,79.0,15,100,270,75.0,79.0,75.0,65,65,15,75,100,75,,KXRAINNYC-25AUG21-T0
2025-08-20 14:37:00+00:00,83.0,15,100,240,81.0,83.0,81.0,15,69,15,100,100,81,,KXRAINNYC-25AUG21-T0
2025-08-20 14:40:00+00:00,,73,85,0,,,,15,73,15,100,100,85,,KXRAINNYC-25AUG21-T0
2025-08-20 14:41:00+00:00,85.0,15,100,114,85.0,85.0,85.0,73,73,15,85,100,85,,KXRAINNYC-25AUG21-T0
2025-08-20 14:43:00+00:00,,75,85,0,,,,15,75,15,100,100,85,,KXRAINNYC-25AUG21-T0
2025-08-20 14:44:00+00:00,,75,85,0,,,,75,75,75,85,85,85,,KXRAINNYC-25AUG21-T0
2025-08-20 14:47:00+00:00,,76,84,0,,,,75,76,75,85,85,84,,KXRAINNYC-25AUG21-T0
2025-08-20 14:48:00+00:00,,76,84,0,,,,76,76,76,84,84,84,,KXRAINNYC-25AUG21-T0
2025-08-20 14:52:00+00:00,86.0,76,86,58,84.0,86.0,84.0,76,76,76,84,86,84,,KXRAINNYC-25AUG21-T0
2025-08-20 14:53:00+00:00,,76,86,0,,,,76,76,76,86,86,86,,KXRAINNYC-25AUG21-T0
2025-08-20 14:54:00+00:00,,76,85,0,,,,76,76,75,86,86,85,,KXRAINNYC-25AUG21-T0
2025-08-20 14:55:00+00:00,,76,85,0,,,,76,76,76,85,85,85,,KXRAINNYC-25AUG21-T0
