datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-07-12 17:03:00+00:00,,5,100,0,,,,5,5,5,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-12 17:04:00+00:00,,0,100,0,,,,5,5,0,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-12 20:16:00+00:00,,15,100,0,,,,0,15,0,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-12 20:28:00+00:00,,15,25,0,,,,15,15,15,100,100,25,,KXRAINNYC-25JUL13-T0
2025-07-12 20:34:00+00:00,,15,100,0,,,,15,15,15,25,100,25,,KXRAINNYC-25JUL13-T0
2025-07-12 20:35:00+00:00,,16,100,0,,,,15,16,15,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-12 20:46:00+00:00,15.0,15,100,23,16.0,16.0,15.0,16,16,15,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-12 20:56:00+00:00,15.0,15,100,23,15.0,15.0,15.0,15,15,15,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-12 22:34:00+00:00,,15,65,0,,,,15,15,15,100,100,65,,KXRAINNYC-25JUL13-T0
2025-07-12 22:57:00+00:00,,16,64,0,,,,15,16,15,65,65,64,,KXRAINNYC-25JUL13-T0
2025-07-12 23:54:00+00:00,15.0,15,64,23,16.0,16.0,15.0,16,16,15,64,64,64,,KXRAINNYC-25JUL13-T0
2025-07-12 23:55:00+00:00,,15,64,0,,,,15,15,15,64,64,64,,KXRAINNYC-25JUL13-T0
2025-07-12 23:56:00+00:00,,15,64,0,,,,15,15,15,64,64,64,,KXRAINNYC-25JUL13-T0
2025-07-12 23:57:00+00:00,,15,64,0,,,,15,15,15,64,64,64,,KXRAINNYC-25JUL13-T0
2025-07-13 00:04:00+00:00,,15,64,0,,,,15,15,15,64,64,64,,KXRAINNYC-25JUL13-T0
2025-07-13 00:05:00+00:00,,15,64,0,,,,15,15,15,64,64,64,,KXRAINNYC-25JUL13-T0
2025-07-13 00:10:00+00:00,,15,64,0,,,,15,15,15,64,64,64,,KXRAINNYC-25JUL13-T0
2025-07-13 00:11:00+00:00,,15,64,0,,,,15,15,15,64,64,64,,KXRAINNYC-25JUL13-T0
2025-07-13 00:53:00+00:00,15.0,15,64,23,15.0,15.0,15.0,15,15,15,64,64,64,,KXRAINNYC-25JUL13-T0
2025-07-13 01:03:00+00:00,15.0,0,64,23,15.0,15.0,15.0,15,15,0,64,64,64,,KXRAINNYC-25JUL13-T0
2025-07-13 01:26:00+00:00,,0,55,0,,,,0,0,0,64,64,55,,KXRAINNYC-25JUL13-T0
2025-07-13 01:34:00+00:00,,0,64,0,,,,0,0,0,55,64,55,,KXRAINNYC-25JUL13-T0
2025-07-13 02:03:00+00:00,,0,10,0,,,,0,0,0,64,64,10,,KXRAINNYC-25JUL13-T0
2025-07-13 04:08:00+00:00,,0,1,0,,,,0,0,0,10,10,1,,KXRAINNYC-25JUL13-T0
2025-07-13 04:09:00+00:00,,0,1,0,,,,0,0,0,1,1,1,,KXRAINNYC-25JUL13-T0
2025-07-13 04:12:00+00:00,1.0,1,10,1,1.0,1.0,1.0,0,1,0,1,10,1,,KXRAINNYC-25JUL13-T0
2025-07-13 06:05:00+00:00,10.0,1,20,3,10.0,10.0,10.0,1,1,1,10,20,10,,KXRAINNYC-25JUL13-T0
2025-07-13 06:57:00+00:00,,1,20,0,,,,1,1,1,20,20,20,,KXRAINNYC-25JUL13-T0
2025-07-13 12:01:00+00:00,40.0,35,100,12,20.0,40.0,20.0,1,35,1,20,100,20,,KXRAINNYC-25JUL13-T0
2025-07-13 12:04:00+00:00,35.0,35,100,63,90.0,90.0,35.0,35,90,35,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-13 12:05:00+00:00,,50,100,0,,,,35,50,35,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-13 12:06:00+00:00,,90,99,0,,,,50,90,50,100,100,99,,KXRAINNYC-25JUL13-T0
2025-07-13 12:07:00+00:00,,90,99,0,,,,90,90,90,99,99,99,,KXRAINNYC-25JUL13-T0
2025-07-13 12:08:00+00:00,,90,99,0,,,,90,90,90,99,99,99,,KXRAINNYC-25JUL13-T0
2025-07-13 12:09:00+00:00,35.0,35,99,30,36.0,36.0,35.0,90,90,35,99,99,99,,KXRAINNYC-25JUL13-T0
2025-07-13 12:11:00+00:00,,36,99,0,,,,35,36,35,99,99,99,,KXRAINNYC-25JUL13-T0
2025-07-13 12:13:00+00:00,,36,99,0,,,,36,36,36,99,99,99,,KXRAINNYC-25JUL13-T0
2025-07-13 12:14:00+00:00,,36,99,0,,,,36,36,36,99,99,99,,KXRAINNYC-25JUL13-T0
2025-07-13 12:15:00+00:00,99.0,99,100,77,99.0,99.0,99.0,36,99,36,99,100,99,,KXRAINNYC-25JUL13-T0
2025-07-13 12:16:00+00:00,,99,100,0,,,,99,99,99,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-13 12:18:00+00:00,99.0,99,100,1870,99.0,99.0,99.0,99,99,99,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-13 12:22:00+00:00,,99,100,0,,,,99,99,99,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-13 12:27:00+00:00,99.0,99,100,1870,99.0,99.0,99.0,99,99,99,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-13 12:37:00+00:00,99.0,99,100,1870,99.0,99.0,99.0,99,99,99,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-13 12:43:00+00:00,,99,100,0,,,,99,99,99,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-13 12:44:00+00:00,,99,100,0,,,,99,99,99,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-13 12:45:00+00:00,,99,100,0,,,,99,99,99,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-13 12:46:00+00:00,99.0,99,100,93,99.0,99.0,99.0,99,99,99,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-13 12:53:00+00:00,99.0,99,100,189,99.0,99.0,99.0,99,99,99,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-13 13:14:00+00:00,98.0,98,100,1450,99.0,99.0,98.0,99,99,98,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-13 13:25:00+00:00,98.0,98,100,935,98.0,98.0,98.0,98,98,98,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-13 13:34:00+00:00,98.0,98,100,935,98.0,98.0,98.0,98,98,98,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-13 13:42:00+00:00,98.0,98,100,935,98.0,98.0,98.0,98,98,98,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-13 13:52:00+00:00,98.0,98,100,935,98.0,98.0,98.0,98,98,98,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-13 13:59:00+00:00,95.0,95,100,11728,98.0,98.0,95.0,98,98,95,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-13 14:00:00+00:00,,52,100,0,,,,95,95,35,100,100,100,,KXRAINNYC-25JUL13-T0
2025-07-13 14:05:00+00:00,,52,96,0,,,,52,53,52,100,100,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:06:00+00:00,,53,96,0,,,,52,53,52,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:07:00+00:00,,52,96,0,,,,53,53,52,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:08:00+00:00,,53,96,0,,,,52,53,52,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:09:00+00:00,,52,96,0,,,,53,53,52,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:10:00+00:00,,53,96,0,,,,52,53,52,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:11:00+00:00,,52,96,0,,,,53,53,52,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:12:00+00:00,,53,96,0,,,,52,53,52,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:13:00+00:00,,52,96,0,,,,53,53,52,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:14:00+00:00,52.0,53,96,40,52.0,52.0,52.0,52,53,52,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:15:00+00:00,,52,96,0,,,,53,53,52,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:16:00+00:00,,53,96,0,,,,52,53,52,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:17:00+00:00,,75,96,0,,,,53,76,53,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:18:00+00:00,,76,96,0,,,,75,76,75,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:19:00+00:00,,85,96,0,,,,76,87,76,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:20:00+00:00,,93,96,0,,,,85,93,85,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:21:00+00:00,,89,96,0,,,,93,93,89,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:22:00+00:00,,90,96,0,,,,89,90,89,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:23:00+00:00,,89,96,0,,,,90,90,89,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:24:00+00:00,,90,96,0,,,,89,90,89,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:25:00+00:00,,89,96,0,,,,90,90,89,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:26:00+00:00,89.0,90,96,42,89.0,89.0,89.0,89,90,89,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:27:00+00:00,89.0,89,96,44,90.0,90.0,89.0,90,90,89,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:28:00+00:00,,91,96,0,,,,89,91,89,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:29:00+00:00,,91,96,0,,,,91,91,91,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:30:00+00:00,,91,96,0,,,,91,91,91,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:31:00+00:00,,91,96,0,,,,91,91,91,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:32:00+00:00,,91,96,0,,,,91,91,91,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:33:00+00:00,,91,95,0,,,,91,92,91,96,96,94,,KXRAINNYC-25JUL13-T0
2025-07-13 14:34:00+00:00,,92,94,0,,,,91,92,91,95,95,94,,KXRAINNYC-25JUL13-T0
2025-07-13 14:35:00+00:00,94.0,93,95,160,94.0,94.0,94.0,92,93,92,94,95,94,,KXRAINNYC-25JUL13-T0
2025-07-13 14:36:00+00:00,,93,95,0,,,,93,93,93,95,95,95,,KXRAINNYC-25JUL13-T0
2025-07-13 14:37:00+00:00,,93,95,0,,,,93,93,93,95,95,95,,KXRAINNYC-25JUL13-T0
2025-07-13 14:38:00+00:00,,93,95,0,,,,93,93,93,95,95,95,,KXRAINNYC-25JUL13-T0
2025-07-13 14:39:00+00:00,,93,95,0,,,,93,93,93,95,95,95,,KXRAINNYC-25JUL13-T0
2025-07-13 14:40:00+00:00,,93,95,0,,,,93,93,93,95,95,95,,KXRAINNYC-25JUL13-T0
2025-07-13 14:41:00+00:00,,93,95,0,,,,93,93,93,95,95,95,,KXRAINNYC-25JUL13-T0
2025-07-13 14:42:00+00:00,,93,95,0,,,,93,93,93,95,95,95,,KXRAINNYC-25JUL13-T0
2025-07-13 14:43:00+00:00,,94,96,0,,,,93,94,93,95,96,95,,KXRAINNYC-25JUL13-T0
2025-07-13 14:44:00+00:00,94.0,94,96,312,94.0,94.0,94.0,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:45:00+00:00,,94,96,0,,,,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:46:00+00:00,,94,96,0,,,,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:47:00+00:00,,94,96,0,,,,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:48:00+00:00,,94,96,0,,,,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:49:00+00:00,,94,96,0,,,,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:50:00+00:00,,94,96,0,,,,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:51:00+00:00,,94,96,0,,,,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:52:00+00:00,,94,96,0,,,,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:53:00+00:00,,94,96,0,,,,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:54:00+00:00,,94,96,0,,,,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:55:00+00:00,,94,96,0,,,,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:56:00+00:00,,94,96,0,,,,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:57:00+00:00,,94,96,0,,,,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:58:00+00:00,94.0,94,96,312,94.0,94.0,94.0,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 14:59:00+00:00,,94,96,0,,,,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 15:00:00+00:00,,94,96,0,,,,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 15:01:00+00:00,,94,96,0,,,,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 15:02:00+00:00,,94,96,0,,,,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 15:03:00+00:00,,94,96,0,,,,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 15:04:00+00:00,,94,96,0,,,,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 15:05:00+00:00,,94,96,0,,,,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
2025-07-13 15:06:00+00:00,,94,96,0,,,,94,94,94,96,96,96,,KXRAINNYC-25JUL13-T0
