datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-06-27 16:13:00+00:00,,42,100,0,,,,42,42,42,100,100,100,,KXRAINNYC-25JUN28-T0
2025-06-28 06:21:00+00:00,42.0,42,100,8,42.0,42.0,42.0,42,42,42,100,100,100,,KXRAINNYC-25JUN28-T0
2025-06-28 15:29:00+00:00,42.0,42,100,225,42.0,42.0,42.0,42,42,42,100,100,100,,KXRAINNYC-25JUN28-T0
2025-06-28 15:53:00+00:00,,45,100,0,,,,42,45,42,100,100,100,,KXRAINNYC-25JUN28-T0
2025-06-28 16:12:00+00:00,45.0,45,100,8,45.0,45.0,45.0,45,45,45,100,100,100,,KXRAINNYC-25JUN28-T0
2025-06-28 16:14:00+00:00,42.0,42,100,255,45.0,45.0,42.0,45,45,42,100,100,100,,KXRAINNYC-25JUN28-T0
2025-06-28 16:36:00+00:00,,42,100,0,,,,42,42,42,100,100,100,,KXRAINNYC-25JUN28-T0
2025-06-28 18:55:00+00:00,,42,100,0,,,,42,99,42,100,100,100,,KXRAINNYC-25JUN28-T0
2025-06-28 18:56:00+00:00,,99,100,0,,,,42,99,42,100,100,100,,KXRAINNYC-25JUN28-T0
2025-06-28 19:22:00+00:00,,99,100,0,,,,99,99,99,100,100,100,,KXRAINNYC-25JUN28-T0
2025-06-28 19:55:00+00:00,99.0,99,100,93,99.0,99.0,99.0,99,99,99,100,100,100,,KXRAINNYC-25JUN28-T0
2025-06-28 19:56:00+00:00,,99,100,0,,,,99,99,99,100,100,100,,KXRAINNYC-25JUN28-T0
2025-06-28 20:00:00+00:00,99.0,99,100,142,99.0,99.0,99.0,99,99,99,100,100,100,,KXRAINNYC-25JUN28-T0
2025-06-28 20:04:00+00:00,99.0,99,100,40960,99.0,99.0,99.0,99,99,99,100,100,100,,KXRAINNYC-25JUN28-T0
2025-06-28 20:07:00+00:00,42.0,42,100,18164,99.0,99.0,42.0,99,99,42,100,100,100,,KXRAINNYC-25JUN28-T0
2025-06-28 20:08:00+00:00,25.0,25,100,541,42.0,42.0,25.0,42,42,25,100,100,100,,KXRAINNYC-25JUN28-T0
2025-06-28 20:09:00+00:00,25.0,25,100,1,25.0,25.0,25.0,25,25,25,100,100,100,,KXRAINNYC-25JUN28-T0
2025-06-28 20:10:00+00:00,25.0,25,100,279,25.0,25.0,25.0,25,25,25,100,100,100,,KXRAINNYC-25JUN28-T0
2025-06-28 20:13:00+00:00,,25,100,0,,,,25,25,25,100,100,100,,KXRAINNYC-25JUN28-T0
2025-06-28 20:19:00+00:00,,50,100,0,,,,25,50,25,100,100,100,,KXRAINNYC-25JUN28-T0
