datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-21 14:01:00+00:00,,78,88,0,,,,76,78,76,100,100,88,,KXRAINNYC-25OCT22-T0
2025-10-21 14:02:00+00:00,90.0,1,99,110,88.0,90.0,88.0,78,78,1,88,99,88,,KXRAINNYC-25OCT22-T0
2025-10-21 14:04:00+00:00,,80,90,0,,,,1,80,1,99,99,90,,KXRAINNYC-25OCT22-T0
2025-10-21 14:07:00+00:00,90.0,80,90,1,90.0,90.0,90.0,80,80,80,90,90,90,,KXRAINNYC-25OCT22-T0
2025-10-21 14:10:00+00:00,,80,90,0,,,,80,80,80,90,90,90,,KXRAINNYC-25OCT22-T0
2025-10-21 14:12:00+00:00,,81,89,0,,,,80,81,80,90,90,89,,KXRAINNYC-25OCT22-T0
2025-10-21 14:18:00+00:00,,80,90,0,,,,81,81,80,89,90,89,,KXRAINNYC-25OCT22-T0
2025-10-21 14:19:00+00:00,,80,90,0,,,,80,80,80,90,90,90,,KXRAINNYC-25OCT22-T0
2025-10-21 14:24:00+00:00,,81,89,0,,,,80,81,80,90,90,89,,KXRAINNYC-25OCT22-T0
2025-10-21 14:29:00+00:00,,80,90,0,,,,81,81,80,89,90,89,,KXRAINNYC-25OCT22-T0
2025-10-21 14:30:00+00:00,90.0,81,90,14,89.0,90.0,89.0,80,81,80,90,90,89,,KXRAINNYC-25OCT22-T0
2025-10-21 14:31:00+00:00,,81,90,0,,,,81,81,81,90,90,90,,KXRAINNYC-25OCT22-T0
2025-10-21 14:35:00+00:00,,80,90,0,,,,81,81,80,90,90,90,,KXRAINNYC-25OCT22-T0
2025-10-21 14:41:00+00:00,,81,89,0,,,,80,81,80,90,90,89,,KXRAINNYC-25OCT22-T0
2025-10-21 14:47:00+00:00,,80,90,0,,,,81,81,80,89,90,89,,KXRAINNYC-25OCT22-T0
2025-10-21 14:48:00+00:00,90.0,80,90,13,90.0,90.0,90.0,80,80,80,90,91,90,,KXRAINNYC-25OCT22-T0
2025-10-21 14:49:00+00:00,92.0,80,99,166,90.0,92.0,90.0,80,80,1,90,99,90,,KXRAINNYC-25OCT22-T0
2025-10-21 14:52:00+00:00,,82,92,0,,,,80,82,80,99,99,92,,KXRAINNYC-25OCT22-T0
2025-10-21 14:53:00+00:00,,83,91,0,,,,82,83,82,92,92,91,,KXRAINNYC-25OCT22-T0
2025-10-21 14:58:00+00:00,,82,92,0,,,,83,83,82,91,92,91,,KXRAINNYC-25OCT22-T0
2025-10-21 15:05:00+00:00,,83,91,0,,,,82,83,82,92,92,91,,KXRAINNYC-25OCT22-T0
2025-10-21 15:10:00+00:00,,82,92,0,,,,83,83,82,91,92,91,,KXRAINNYC-25OCT22-T0
2025-10-21 15:14:00+00:00,,83,92,0,,,,82,83,82,92,92,92,,KXRAINNYC-25OCT22-T0
2025-10-21 15:23:00+00:00,,83,92,0,,,,83,83,83,92,92,92,,KXRAINNYC-25OCT22-T0
2025-10-21 16:13:00+00:00,,83,92,0,,,,83,83,83,92,92,92,,KXRAINNYC-25OCT22-T0
2025-10-21 16:47:00+00:00,,90,92,0,,,,83,90,83,92,92,92,,KXRAINNYC-25OCT22-T0
2025-10-21 16:48:00+00:00,,90,92,0,,,,90,90,90,92,92,92,,KXRAINNYC-25OCT22-T0
2025-10-21 16:52:00+00:00,,87,92,0,,,,90,90,87,92,92,92,,KXRAINNYC-25OCT22-T0
2025-10-21 17:31:00+00:00,,87,88,0,,,,87,87,87,92,99,88,,KXRAINNYC-25OCT22-T0
2025-10-21 18:16:00+00:00,,87,89,0,,,,87,87,87,88,99,88,,KXRAINNYC-25OCT22-T0
2025-10-21 18:19:00+00:00,,87,88,0,,,,87,87,87,89,99,88,,KXRAINNYC-25OCT22-T0
2025-10-21 18:22:00+00:00,,87,89,0,,,,87,87,87,88,99,88,,KXRAINNYC-25OCT22-T0
2025-10-21 18:28:00+00:00,,87,88,0,,,,87,87,87,89,99,88,,KXRAINNYC-25OCT22-T0
2025-10-21 18:34:00+00:00,,87,89,0,,,,87,87,87,88,99,88,,KXRAINNYC-25OCT22-T0
2025-10-21 18:47:00+00:00,,88,89,0,,,,87,88,87,89,89,89,,KXRAINNYC-25OCT22-T0
2025-10-21 19:02:00+00:00,,87,89,0,,,,88,88,87,89,89,89,,KXRAINNYC-25OCT22-T0
2025-10-21 19:08:00+00:00,,88,89,0,,,,87,88,87,89,89,89,,KXRAINNYC-25OCT22-T0
2025-10-21 19:31:00+00:00,,88,99,0,,,,88,88,88,89,99,89,,KXRAINNYC-25OCT22-T0
2025-10-21 19:34:00+00:00,87.0,87,99,122,88.0,88.0,87.0,88,88,87,99,99,99,,KXRAINNYC-25OCT22-T0
2025-10-21 19:37:00+00:00,85.0,86,98,120,87.0,87.0,85.0,87,87,85,99,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 19:40:00+00:00,85.0,85,98,120,86.0,86.0,85.0,86,86,85,98,98,98,,KXRAINNYC-25OCT22-T0
2025-10-21 19:43:00+00:00,75.0,76,98,120,85.0,85.0,75.0,85,85,75,98,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 19:46:00+00:00,75.0,75,98,120,76.0,76.0,75.0,76,76,75,98,98,98,,KXRAINNYC-25OCT22-T0
2025-10-21 19:47:00+00:00,,83,98,0,,,,75,83,75,98,98,98,,KXRAINNYC-25OCT22-T0
2025-10-21 19:48:00+00:00,,83,98,0,,,,83,83,83,98,98,98,,KXRAINNYC-25OCT22-T0
2025-10-21 19:49:00+00:00,75.0,76,98,120,83.0,83.0,75.0,83,83,75,98,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 19:52:00+00:00,75.0,55,98,70,76.0,76.0,75.0,76,76,55,98,98,59,,KXRAINNYC-25OCT22-T0
2025-10-21 19:55:00+00:00,,55,59,0,,,,55,55,55,98,98,59,,KXRAINNYC-25OCT22-T0
2025-10-21 20:04:00+00:00,60.0,55,99,55,59.0,60.0,59.0,55,55,55,59,99,59,,KXRAINNYC-25OCT22-T0
2025-10-21 20:07:00+00:00,,55,60,0,,,,55,55,55,99,99,60,,KXRAINNYC-25OCT22-T0
2025-10-21 20:19:00+00:00,61.0,55,99,30,60.0,61.0,60.0,55,55,55,60,99,60,,KXRAINNYC-25OCT22-T0
2025-10-21 20:21:00+00:00,,56,98,0,,,,55,56,55,99,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 20:22:00+00:00,,56,60,0,,,,56,56,56,98,98,60,,KXRAINNYC-25OCT22-T0
2025-10-21 20:24:00+00:00,62.0,56,98,86,60.0,62.0,60.0,56,56,56,60,98,60,,KXRAINNYC-25OCT22-T0
2025-10-21 20:25:00+00:00,,56,61,0,,,,56,56,56,98,98,61,,KXRAINNYC-25OCT22-T0
2025-10-21 20:27:00+00:00,,55,61,0,,,,56,56,55,61,61,61,,KXRAINNYC-25OCT22-T0
2025-10-21 20:43:00+00:00,,51,61,0,,,,55,55,51,61,61,61,,KXRAINNYC-25OCT22-T0
2025-10-21 20:46:00+00:00,,52,61,0,,,,51,52,51,61,61,61,,KXRAINNYC-25OCT22-T0
2025-10-21 20:52:00+00:00,,52,61,0,,,,52,52,51,61,61,61,,KXRAINNYC-25OCT22-T0
2025-10-21 20:58:00+00:00,,51,61,0,,,,52,52,51,61,61,61,,KXRAINNYC-25OCT22-T0
2025-10-21 20:59:00+00:00,,52,61,0,,,,51,52,51,61,61,61,,KXRAINNYC-25OCT22-T0
2025-10-21 21:03:00+00:00,63.0,52,99,47,61.0,63.0,61.0,52,52,52,61,99,61,,KXRAINNYC-25OCT22-T0
2025-10-21 21:04:00+00:00,,52,62,0,,,,52,52,52,99,99,62,,KXRAINNYC-25OCT22-T0
2025-10-21 21:05:00+00:00,64.0,53,99,50,62.0,64.0,62.0,52,53,1,62,99,62,,KXRAINNYC-25OCT22-T0
2025-10-21 21:07:00+00:00,,53,63,0,,,,53,53,53,99,99,63,,KXRAINNYC-25OCT22-T0
2025-10-21 21:09:00+00:00,65.0,53,99,130,63.0,65.0,63.0,53,53,53,63,99,63,,KXRAINNYC-25OCT22-T0
2025-10-21 21:10:00+00:00,,55,65,0,,,,53,55,53,99,99,65,,KXRAINNYC-25OCT22-T0
2025-10-21 21:11:00+00:00,,55,65,0,,,,55,55,55,65,65,65,,KXRAINNYC-25OCT22-T0
2025-10-21 21:12:00+00:00,64.0,56,64,5,64.0,64.0,64.0,55,56,55,65,65,64,,KXRAINNYC-25OCT22-T0
2025-10-21 21:18:00+00:00,,56,64,0,,,,56,56,55,64,65,64,,KXRAINNYC-25OCT22-T0
2025-10-21 21:24:00+00:00,,55,65,0,,,,56,56,55,64,65,64,,KXRAINNYC-25OCT22-T0
2025-10-21 21:25:00+00:00,,56,64,0,,,,55,56,55,65,65,64,,KXRAINNYC-25OCT22-T0
2025-10-21 21:31:00+00:00,,56,64,0,,,,56,56,55,64,65,64,,KXRAINNYC-25OCT22-T0
2025-10-21 21:37:00+00:00,,55,65,0,,,,56,56,55,64,65,64,,KXRAINNYC-25OCT22-T0
2025-10-21 21:38:00+00:00,,56,64,0,,,,55,56,55,65,65,64,,KXRAINNYC-25OCT22-T0
2025-10-21 21:43:00+00:00,,55,65,0,,,,56,56,55,64,65,64,,KXRAINNYC-25OCT22-T0
2025-10-21 21:44:00+00:00,,56,64,0,,,,55,56,55,65,65,64,,KXRAINNYC-25OCT22-T0
2025-10-21 21:50:00+00:00,,56,64,0,,,,56,56,55,64,65,64,,KXRAINNYC-25OCT22-T0
2025-10-21 21:56:00+00:00,,55,65,0,,,,56,56,55,64,65,64,,KXRAINNYC-25OCT22-T0
2025-10-21 21:57:00+00:00,,56,64,0,,,,55,56,55,65,65,64,,KXRAINNYC-25OCT22-T0
2025-10-21 22:03:00+00:00,,55,65,0,,,,56,56,55,64,65,64,,KXRAINNYC-25OCT22-T0
2025-10-21 22:04:00+00:00,,56,64,0,,,,55,56,55,65,65,64,,KXRAINNYC-25OCT22-T0
2025-10-21 22:05:00+00:00,67.0,56,99,199,64.0,67.0,64.0,56,56,56,64,99,64,,KXRAINNYC-25OCT22-T0
2025-10-21 22:09:00+00:00,,1,99,0,,,,56,56,1,99,99,99,,KXRAINNYC-25OCT22-T0
2025-10-21 22:10:00+00:00,,2,98,0,,,,1,2,1,99,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 22:11:00+00:00,,3,98,0,,,,2,3,2,98,98,98,,KXRAINNYC-25OCT22-T0
2025-10-21 22:16:00+00:00,,3,99,0,,,,3,3,3,98,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 22:17:00+00:00,,4,98,0,,,,3,4,3,99,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 22:22:00+00:00,,3,99,0,,,,4,4,3,98,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 22:23:00+00:00,,4,98,0,,,,3,4,3,99,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 22:29:00+00:00,,3,99,0,,,,4,4,3,98,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 22:30:00+00:00,,4,98,0,,,,3,4,3,99,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 22:36:00+00:00,,4,98,0,,,,4,4,3,98,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 22:37:00+00:00,,4,98,0,,,,4,4,4,98,98,98,,KXRAINNYC-25OCT22-T0
2025-10-21 22:41:00+00:00,,4,98,0,,,,4,4,4,98,98,98,,KXRAINNYC-25OCT22-T0
2025-10-21 22:42:00+00:00,,2,99,0,,,,4,4,2,98,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 22:43:00+00:00,,3,98,0,,,,2,3,2,99,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 22:44:00+00:00,,4,98,0,,,,3,4,3,98,98,98,,KXRAINNYC-25OCT22-T0
2025-10-21 22:49:00+00:00,,4,99,0,,,,4,4,4,98,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 22:50:00+00:00,,5,98,0,,,,4,5,4,99,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 22:55:00+00:00,,4,99,0,,,,5,5,4,98,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 22:56:00+00:00,,5,98,0,,,,4,5,4,99,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 22:57:00+00:00,,5,98,0,,,,5,5,5,98,98,98,,KXRAINNYC-25OCT22-T0
2025-10-21 23:02:00+00:00,,4,99,0,,,,5,5,4,98,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 23:03:00+00:00,,5,98,0,,,,4,5,4,99,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 23:07:00+00:00,,12,98,0,,,,5,12,5,98,98,98,,KXRAINNYC-25OCT22-T0
2025-10-21 23:08:00+00:00,,12,98,0,,,,12,12,12,98,98,98,,KXRAINNYC-25OCT22-T0
2025-10-21 23:09:00+00:00,,12,99,0,,,,12,12,12,98,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 23:10:00+00:00,,13,98,0,,,,12,13,12,99,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 23:15:00+00:00,,12,99,0,,,,13,13,12,98,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 23:16:00+00:00,,13,98,0,,,,12,13,12,99,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 23:17:00+00:00,,13,98,0,,,,13,13,13,98,98,98,,KXRAINNYC-25OCT22-T0
2025-10-21 23:22:00+00:00,,12,99,0,,,,13,13,12,98,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 23:23:00+00:00,,13,98,0,,,,12,13,12,99,99,98,,KXRAINNYC-25OCT22-T0
2025-10-21 23:26:00+00:00,99.0,13,100,63,98.0,99.0,98.0,13,13,13,98,100,98,,KXRAINNYC-25OCT22-T0
2025-10-21 23:27:00+00:00,,14,100,0,,,,13,14,13,100,100,100,,KXRAINNYC-25OCT22-T0
2025-10-21 23:29:00+00:00,,14,100,0,,,,14,14,14,100,100,100,,KXRAINNYC-25OCT22-T0
2025-10-22 00:01:00+00:00,,14,100,0,,,,14,14,14,100,100,100,,KXRAINNYC-25OCT22-T0
2025-10-22 00:25:00+00:00,,30,100,0,,,,14,30,14,100,100,100,,KXRAINNYC-25OCT22-T0
2025-10-22 00:26:00+00:00,,32,99,0,,,,30,32,30,100,100,99,,KXRAINNYC-25OCT22-T0
2025-10-22 00:30:00+00:00,,33,98,0,,,,32,33,32,99,99,98,,KXRAINNYC-25OCT22-T0
2025-10-22 00:31:00+00:00,,34,98,0,,,,33,34,33,98,98,98,,KXRAINNYC-25OCT22-T0
