contract_id,original_rows,final_rows,rows_removed,removal_pct,nulls_imputed,outliers_winsorized
KXNFLGAME-25OCT09PHINYG-NYG,4986,4986,0,0.0,7128,0
KXNCAAFGAME-25NOV01CINUTAH-CIN,11671,11671,0,0.0,36668,0
KXNCAAFGAME-25NOV01OKLATENN-TENN,9978,9978,0,0.0,32248,0
KXMLBGAME-25OCT09MILCHC-MIL,1418,1418,0,0.0,868,0
KXNFLGAME-25SEP28GBDAL-DAL,6382,6382,0,0.0,12740,0
KXNCAAFGAME-25NOV07TULNMEM-TULN,5543,5543,0,0.0,18188,0
KXNFLGAME-25OCT02SFLA-LA,5276,5276,0,0.0,6688,0
KXATPMATCH-25NOV04CAZNOR-NOR,1047,1047,0,0.0,2668,0
KXNFLGAME-25OCT09PHINYG-PHI,5937,5937,0,0.0,8540,0
KXATPMATCH-25NOV08DJOMUS-DJO,1053,1053,0,0.0,1908,0
KXNBAGAME-25OCT31LALMEM-LAL,2885,2885,0,0.0,5980,0
KXNBAGAME-25NOV05PHICLE-PHI,2793,2793,0,0.0,4820,0
KXMLBGAME-25OCT08PHILAD-PHI,3733,3733,0,0.0,8308,0
KXMLBGAME-25OCT08SEADET-SEA,1240,1240,0,0.0,740,0
KXMLBGAME-25OCT08PHILAD-LAD,3461,3461,0,0.0,5984,0
KXNFLGAME-25OCT19ATLSF-ATL,6264,6264,0,0.0,14680,0
KXNCAAFGAME-25NOV01GTNCST-GT,10354,10354,0,0.0,31192,0
KXMLBGAME-25OCT29TORLAD-TOR,3017,3017,0,0.0,6060,0
KXNFLGAME-25NOV10PHIGB-GB,8702,8702,0,0.0,24476,0
KXMLBGAME-25OCT08TORNYY-NYY,923,923,0,0.0,520,0
KXNBAGAME-25NOV10ATLLAC-ATL,3092,3092,0,0.0,8776,0
KXNFLGAME-25OCT06KCJAC-KC,10295,10295,0,0.0,21572,0
KXNBAGAME-25NOV03MIALAC-MIA,2632,2632,0,0.0,6956,0
KXNBAGAME-25NOV03LALPOR-LAL,2673,2673,0,0.0,4204,0
KXNFLGAME-25NOV02KCBUF-KC,9849,9849,0,0.0,29384,0
KXNCAAFGAME-25NOV08BYUTTU-BYU,7720,7720,0,0.0,15964,0
KXNFLGAME-25SEP28LACNYG-LAC,7484,7484,0,0.0,12020,0
