contract_id,category,n_observations,frequency,start_date,end_date,total_volume,mean_price
KXNFLGAME-25OCT09PHINYG-NYG,Sports,4986,MINUTE,2025-10-03 04:36:00+00:00,2025-10-10 03:18:00+00:00,19881300,24.313139418254764
KXNCAAFGAME-25NOV01CINUTAH-CIN,Sports,11671,MINUTE,2025-10-17 20:15:00+00:00,2025-11-02 05:56:00+00:00,6479023,29.971884107663296
KXNCAAFGAME-25NOV01OKLATENN-TENN,Sports,9978,MINUTE,2025-10-17 20:15:00+00:00,2025-11-02 03:37:00+00:00,6691729,58.075388471177945
KXMLBGAME-25OCT09MILCHC-MIL,Sports,1418,MINUTE,2025-10-09 00:46:00+00:00,2025-10-10 04:16:00+00:00,6291781,48.66949752300071
KXNFLGAME-25SEP28GBDAL-DAL,Sports,6382,MINUTE,2025-09-17 19:00:00+00:00,2025-09-29 04:16:00+00:00,36918857,27.44587097796798
KXNCAAFGAME-25NOV07TULNMEM-TULN,Sports,5543,MINUTE,2025-10-31 15:13:00+00:00,2025-11-08 05:41:00+00:00,6197934,37.350408314773574
KXNFLGAME-25OCT02SFLA-LA,Sports,5276,MINUTE,2025-09-27 03:22:00+00:00,2025-10-03 03:41:00+00:00,31933800,71.35374407582938
KXATPMATCH-25NOV04CAZNOR-NOR,Sports,1047,MINUTE,2025-11-03 19:56:00+00:00,2025-11-04 23:18:00+00:00,1038013,55.24154589371981
KXNFLGAME-25OCT09PHINYG-PHI,Sports,5937,MINUTE,2025-10-03 04:36:00+00:00,2025-10-10 03:18:00+00:00,26082024,77.14230315292531
KXATPMATCH-25NOV08DJOMUS-DJO,Sports,1053,MINUTE,2025-11-07 19:47:00+00:00,2025-11-08 18:16:00+00:00,1012585,68.75263662511985
KXNBAGAME-25OCT31LALMEM-LAL,Sports,2885,MINUTE,2025-10-29 19:13:00+00:00,2025-11-01 04:06:00+00:00,6023112,45.87731562390773
KXNBAGAME-25NOV05PHICLE-PHI,Sports,2793,MINUTE,2025-11-03 19:07:00+00:00,2025-11-06 02:42:00+00:00,4605304,28.964285714285715
KXMLBGAME-25OCT08PHILAD-PHI,Sports,3733,MINUTE,2025-10-03 03:19:00+00:00,2025-10-09 04:06:00+00:00,6240037,44.4514745308311
KXMLBGAME-25OCT08SEADET-SEA,Sports,1240,MINUTE,2025-10-07 20:06:00+00:00,2025-10-08 22:06:00+00:00,6255815,50.86234817813765
KXMLBGAME-25OCT08PHILAD-LAD,Sports,3461,MINUTE,2025-10-03 03:19:00+00:00,2025-10-09 04:06:00+00:00,7086087,59.24840948525159
KXNFLGAME-25OCT19ATLSF-ATL,Sports,6264,MINUTE,2025-10-08 19:16:00+00:00,2025-10-20 03:21:00+00:00,15943440,44.437609841827765
