category,lifecycle_bin,lifecycle_ratio,spread_median,spread_mean,spread_std,spread_p25,spread_p75,spread_n,volume_median,volume_mean,volume_std,volume_p25,volume_p75,volume_n,volatility_short_median,volatility_short_mean,volatility_short_std,volatility_short_p25,volatility_short_p75,volatility_short_n,depth_resilience_median,depth_resilience_mean,depth_resilience_std,depth_resilience_p25,depth_resilience_p75,depth_resilience_n
Culture,0,0.01,25.0,34.61904761904762,29.766513928808042,10.0,49.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.004761904761904762,0.021295885499998002,0.0,0.0,21
Culture,1,0.03,14.0,29.761904761904763,30.87594958926039,10.0,45.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.023809523809523808,0.042591770999996004,0.0,0.0,21
Culture,2,0.05,10.0,26.833333333333332,29.657301892713626,8.0,32.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.02857142857142857,0.05471012044321932,0.0,0.0,21
Culture,3,0.07,9.0,20.666666666666668,30.180935851773857,4.0,14.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.009523809523809525,0.029354352395090363,0.0,0.0,21
Culture,4,0.09,9.0,23.476190476190474,31.275456751442302,5.0,27.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.009523809523809525,0.029354352395090363,0.0,0.0,21
Culture,5,0.11,10.0,20.714285714285715,22.213558401812808,5.0,28.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.009523809523809525,0.029354352395090363,0.0,0.0,21
Culture,6,0.13,10.0,19.714285714285715,20.990117532153203,8.0,22.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.01904761904761905,0.04994327848429294,0.0,0.0,21
Culture,7,0.15,10.0,13.642857142857142,11.098201116722066,4.0,20.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.023809523809523808,0.05259695722470125,0.0,0.0,21
Culture,8,0.17,10.0,12.0,10.694903102924886,4.0,21.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.01904761904761905,0.039267672624930104,0.0,0.0,21
Culture,9,0.19,9.0,13.619047619047619,15.685832826914957,5.0,15.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.01904761904761905,0.039267672624930104,0.0,0.0,21
Culture,10,0.21,7.0,11.19047619047619,13.443423060469623,4.0,12.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.014285714285714287,0.034992710611188256,0.0,0.0,21
Culture,11,0.23,5.0,8.80952380952381,8.347335175680165,4.0,10.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.014285714285714287,0.034992710611188256,0.0,0.0,21
Culture,12,0.25,6.0,7.476190476190476,6.891119527672641,3.0,9.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.01904761904761905,0.039267672624930104,0.0,0.0,21
Culture,13,0.27,5.0,7.333333333333333,5.800930412510881,3.0,10.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.023809523809523808,0.05259695722470125,0.0,0.0,21
Culture,14,0.29,4.0,6.285714285714286,5.945329156195661,2.0,10.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.01904761904761905,0.039267672624930104,0.0,0.0,21
Culture,15,0.31,5.0,7.571428571428571,5.7534373044577904,3.0,10.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.023809523809523808,0.05259695722470125,0.0,0.0,21
Culture,16,0.33,5.0,7.666666666666667,5.625903807460064,3.0,10.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.023809523809523808,0.042591770999996004,0.0,0.0,21
Culture,17,0.35,4.0,7.142857142857143,6.90262692772841,3.0,10.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.01904761904761905,0.039267672624930104,0.0,0.0,21
Culture,18,0.37,5.0,8.285714285714286,9.4925678052577,4.0,10.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.009523809523809525,0.029354352395090363,0.0,0.0,21
Culture,19,0.39,7.0,8.095238095238095,5.371040175083247,4.0,10.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.023809523809523808,0.042591770999996004,0.0,0.0,21
Culture,20,0.41,7.0,6.904761904761905,3.3367329602580673,4.0,9.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.009523809523809525,0.029354352395090363,0.0,0.0,21
Culture,21,0.43,7.0,7.666666666666667,5.330356311983133,5.0,9.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.014285714285714287,0.034992710611188256,0.0,0.0,21
Culture,22,0.45,6.0,7.380952380952381,6.579015633969732,3.0,8.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.0,0.0,0.0,0.0,21
Culture,23,0.47,4.0,6.761904761904762,7.3478520470417354,3.0,8.0,21,0.0,0.0,0.0,0.0,0.0,21,,,,,,21,0.0,0.014285714285714287,0.04665694748158435,0.0,0.0,21
Culture,24,0.49,4.0,6.0476190476190474,5.883602641694243,3.0,6.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.004761904761904762,0.021295885499998002,0.0,0.0,21
Culture,25,0.51,4.0,6.476190476190476,10.021971327890146,2.0,6.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.004761904761904762,0.021295885499998002,0.0,0.0,21
Culture,26,0.53,5.0,7.809523809523809,10.007706780843344,3.0,7.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.000489625274444959,0.002189670794321838,0.0,0.0,21,0.0,0.009523809523809525,0.042591770999996004,0.0,0.0,21
Culture,27,0.55,4.0,7.333333333333333,8.311399706389114,2.0,8.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,21
Culture,28,0.57,6.0,7.190476190476191,6.099328984319252,4.0,8.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.009523809523809525,0.029354352395090363,0.0,0.0,21
Culture,29,0.59,5.0,6.571428571428571,5.972727131533392,3.0,7.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.023809523809523808,0.05259695722470125,0.0,0.0,21
Culture,30,0.61,4.0,4.857142857142857,4.178011765532162,2.0,6.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.023809523809523808,0.05259695722470125,0.0,0.0,21
Culture,31,0.63,3.0,4.9523809523809526,5.384954264086544,2.0,5.0,21,0.0,0.09523809523809523,0.42591770999996,0.0,0.0,21,0.0,0.0037338214427538726,0.010650591272068759,0.0,0.0,21,0.0,0.03333333333333333,0.07766431633476233,0.0,0.0,21
Culture,32,0.65,2.0,4.0476190476190474,3.5920042220278305,2.0,5.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0011326536920719973,0.002939025072315354,0.0,0.0,21,0.0,0.023809523809523808,0.05259695722470125,0.0,0.0,21
Culture,33,0.67,2.0,3.238095238095238,2.6886846120939243,2.0,3.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0005270081968552926,0.0023568523057360506,0.0,0.0,21,0.0,0.023809523809523808,0.05259695722470125,0.0,0.0,21
Culture,34,0.69,2.0,3.5238095238095237,3.1414138099944084,2.0,4.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.009523809523809525,0.029354352395090363,0.0,0.0,21
Culture,35,0.71,2.0,2.857142857142857,2.512553515861508,2.0,3.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.003027476272706409,0.00849313123988622,0.0,0.0,21,0.0,0.023809523809523808,0.05259695722470125,0.0,0.0,21
Culture,36,0.73,2.0,3.0952380952380953,2.0448486241508466,2.0,4.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0004436642812515861,0.0019841269841342642,0.0,0.0,21,0.0,0.01904761904761905,0.04994327848429294,0.0,0.0,21
Culture,37,0.75,2.0,2.380952380952381,1.3964645998681127,1.0,3.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,21
Culture,38,0.77,3.0,2.6666666666666665,1.3569339855976197,2.0,3.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.003729233405529028,0.013797339944929758,0.0,0.0,21,0.0,0.03809523809523809,0.08438116736509214,0.0,0.0,21
Culture,39,0.79,2.0,2.5714285714285716,1.2562767579307543,2.0,4.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.002746733400094825,0.007431736248026049,0.0,0.0,21,0.0,0.03333333333333333,0.0835710894037345,0.0,0.0,21
Culture,40,0.81,2.0,2.4285714285714284,1.178030178747903,2.0,3.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.003334204295450833,0.011231129483542553,0.0,0.0,21,0.0,0.028571428571428574,0.06998542122237651,0.0,0.0,21
Culture,41,0.83,3.0,3.9523809523809526,2.6090719108195666,2.0,5.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0006453298636362731,0.002886002886002752,0.0,0.0,21,0.0,0.014285714285714287,0.034992710611188256,0.0,0.0,21
Culture,42,0.85,2.0,2.4285714285714284,1.256276757930754,2.0,3.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0035090972307241283,0.007092924897506977,0.0,0.0,21,0.0,0.042857142857142864,0.08491692619108097,0.0,0.0,21
Culture,43,0.87,2.0,2.5238095238095237,1.3316315670580536,2.0,3.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0015985561642674004,0.003961125913190011,0.0,0.0,21,0.0,0.03333333333333333,0.0835710894037345,0.0,0.0,21
Culture,44,0.89,2.0,2.5714285714285716,1.466171839841967,1.0,3.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.01904761904761905,0.04994327848429294,0.0,0.0,21
Culture,45,0.91,2.0,3.142857142857143,3.757984696561687,2.0,3.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0016305901205761874,0.005379200523167876,0.0,0.0,21,0.0,0.042857142857142864,0.0791107034563626,0.0,0.1,21
Culture,46,0.93,2.0,2.142857142857143,1.2830660557435696,1.0,3.0,21,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0030960367833897185,0.008229097238598795,0.0,0.0,21,0.0,0.052380952380952396,0.07939681905015745,0.0,0.1,21
Culture,47,0.95,1.0,2.857142857142857,2.7305278451107524,1.0,4.0,21,0.0,0.6190476190476191,2.76846511499974,0.0,0.0,21,0.0,0.0035194394562636107,0.010178047980821638,0.0,0.0,21,0.0,0.028571428571428574,0.06998542122237651,0.0,0.0,21
Culture,48,0.97,2.0,2.238095238095238,1.4769583256448402,1.0,3.0,21,0.0,6.904761904761905,26.018134265500215,0.0,0.0,21,0.0,0.005749771763655896,0.012954505045635603,0.0,0.0,21,0.0,0.06190476190476191,0.11328930717495544,0.0,0.0,21
Culture,49,0.99,2.0,2.619047619047619,3.3448779673973226,1.0,3.0,21,0.0,45.42857142857143,106.01732626975534,0.0,0.0,21,0.0,0.02596062904883441,0.06160737288497625,0.0,0.006298783035226575,21,0.0,0.07142857142857142,0.12009066869446185,0.0,0.1,21
