contract_id,category,avg_spread,avg_spread_pct,avg_volume,volatility,liquidity_score,depth_resilience,surge_count,spread_p10,spread_p25,spread_p50,spread_p75,spread_p90,spread_collapse_slope,shock_count,median_recovery_minutes,mean_recovery_minutes,recovery_rate,volume_surge_count,volatility_surge_count
KXNFLGAME-25OCT09PHINYG-NYG,Sports,3.8396481055683296,0.12769714741628224,1987.5337398780366,0.005707984633190407,-2.216228467031403e-16,0.46716670851117253,754,1.0,1.0,1.0,1.0,4.0,-1.312772778767686,4,,,0.0,377,377
KXNCAAFGAME-25NOV01CINUTAH-CIN,Sports,20.92209899918853,0.4426124651173513,292.0847083220629,0.003451811663224961,5.1251842810213704e-17,0.5178301827936864,634,1.0,1.0,5.0,50.0,53.0,-4.953700700613482,14,,,0.0,454,180
KXNCAAFGAME-25NOV01OKLATENN-TENN,Sports,18.120446400217755,0.3647345683143452,303.5761466225105,0.0019557585850151025,4.1260023670685853e-17,0.508458016593361,631,1.0,2.0,4.0,31.0,53.0,-4.7236962939080165,10,,,0.0,463,168
KXMLBGAME-25OCT09MILCHC-MIL,Sports,1.6408237431859478,0.07268988802776578,3810.8909751665656,0.018519664377423195,1.5493360682836831e-16,0.5176129426129427,174,1.0,1.0,1.0,2.0,3.0,-0.35475502487716065,11,4.0,5.777777777777778,0.8181818181818182,89,85
KXNFLGAME-25SEP28GBDAL-DAL,Sports,8.570348234433128,0.21087476144341225,2251.5616881136793,0.0057843889230885055,-3.7429486370237636e-17,0.5385897833617703,872,1.0,1.0,1.0,2.0,16.0,-2.5039599654853784,3,,,0.0,507,365
KXNCAAFGAME-25NOV07TULNMEM-TULN,Sports,5.288519499497671,0.1441156501223848,566.0730660334277,0.0019143447475190815,1.5574961784859262e-17,0.5230611929079896,346,1.0,1.0,2.0,3.0,14.0,-2.775120460783337,2,,,0.0,232,114
KXNFLGAME-25OCT02SFLA-LA,Sports,1.781986143187067,0.029467521700600664,3687.5057736720555,0.0042523743635291865,1.8789178578413734e-16,0.5121456546064901,724,1.0,1.0,1.0,1.0,2.0,-0.5130891227273763,8,6.0,7.75,0.5,373,351
KXATPMATCH-25NOV04CAZNOR-NOR,Sports,8.304321363359708,0.15151980523318911,631.7790626902008,0.013751637081736483,-2.5948000088622037e-17,0.5250675447483958,105,1.0,1.0,1.0,1.0,57.0,-2.242958414398229,2,,,0.0,61,44
KXNFLGAME-25OCT09PHINYG-PHI,Sports,4.589423173048085,0.07553725332062355,2607.420173947816,0.0034831948715772407,2.6708394346275886e-16,0.5177692234578463,698,1.0,1.0,1.0,1.0,5.0,-1.6033341268093284,8,23.0,23.0,0.125,375,323
KXATPMATCH-25NOV08DJOMUS-DJO,Sports,2.5125925925925925,0.03963392819797284,750.062962962963,0.0123320448397087,1.3684526762787116e-16,0.5160533043345544,136,1.0,1.0,1.0,2.0,2.0,0.011691159804863419,12,3.0,4.9,0.8333333333333334,68,68
KXNBAGAME-25OCT31LALMEM-LAL,Sports,4.042765084944347,0.10227470323024629,1764.2390158172232,0.008266035687670108,1.1655065378607384e-16,0.5325721129292558,326,1.0,1.0,2.0,4.0,11.0,-2.4535177631217207,6,1.0,1.0,0.16666666666666666,178,148
KXNBAGAME-25NOV05PHICLE-PHI,Sports,4.812350119904076,0.17122642556215972,1380.4868105515588,0.014150864533541849,-6.815757657171224e-17,0.549529271897693,273,1.0,1.0,3.0,6.0,11.0,-2.805565441058721,2,,,0.0,142,131
KXMLBGAME-25OCT08PHILAD-PHI,Sports,15.63409300184162,0.3174211036343634,718.236302946593,0.0039219988514719115,-2.6171003158751386e-17,0.5423067149482244,411,1.0,2.0,7.0,31.0,41.0,-4.462725519368298,5,,,0.0,209,202
KXMLBGAME-25OCT08SEADET-SEA,Sports,3.237027546444587,0.09785999214897131,4007.568866111467,0.017768766532006867,1.8207373113647665e-17,0.5196514837819185,178,1.0,1.0,2.0,3.0,8.0,-1.933453564020345,2,,,0.0,89,89
KXMLBGAME-25OCT08PHILAD-LAD,Sports,13.914594843462247,0.273050620485209,815.6177486187845,0.005138782800824349,8.505576026594202e-17,0.5492228504628305,433,1.0,1.0,6.0,30.0,39.0,-3.867835942171049,10,,,0.0,248,185
KXNFLGAME-25OCT19ATLSF-ATL,Sports,3.149271101310793,0.07413996354244752,976.5674384417493,0.00223866338075049,-6.963545125665566e-18,0.526962676962677,678,1.0,1.0,1.0,3.0,4.0,-2.06573468457065,8,,,0.0,467,211
KXNCAAFGAME-25NOV01GTNCST-GT,Sports,18.024712669786034,0.2839898328139246,312.4271566801435,0.0019255614904677284,3.6151722348217514e-17,0.5352188211017345,703,1.0,1.0,3.0,39.0,51.0,-4.982250596215087,16,,,0.0,492,211
KXMLBGAME-25OCT29TORLAD-TOR,Sports,12.048627925746569,0.27811317818619685,1432.112389023406,0.006155457474240602,9.175693117160293e-17,0.5634404105995015,313,1.0,2.0,2.0,23.0,39.0,-4.348169517428677,6,,,0.0,181,132
KXNFLGAME-25NOV10PHIGB-GB,Sports,1.7074517019319226,0.03129216889950139,1112.7981995005914,0.0025442291402968196,-1.7555793707832674e-16,0.5300751879699248,796,1.0,1.0,1.0,2.0,3.0,-1.170420867598602,7,1.0,1.0,0.14285714285714285,485,311
KXMLBGAME-25OCT08TORNYY-NYY,Sports,1.5674157303370786,0.05210044042921692,5463.4775280898875,0.026892594520102515,2.366574922475454e-16,0.5272025057402415,144,1.0,1.0,1.0,2.0,2.0,-0.20670503520874237,14,3.0,5.916666666666667,0.8571428571428571,84,60
KXNBAGAME-25NOV10ATLLAC-ATL,Sports,4.271109855972889,0.11365039562548407,1862.1214346229879,0.0070514582931401545,-6.421171291816777e-17,0.5419434302987477,254,1.0,1.0,1.0,4.0,10.0,-2.317158672220746,2,,,0.0,156,98
KXNFLGAME-25OCT06KCJAC-KC,Sports,2.4947580365201696,0.04094607274988401,2078.3652711240716,0.0028347781427130584,-4.3413011696791514e-17,0.49385411890570063,1016,1.0,1.0,1.0,2.0,4.0,-1.4156933238315264,6,2.0,2.6666666666666665,0.5,651,365
KXNBAGAME-25NOV03MIALAC-MIA,Sports,8.770671276289255,0.20670927825647817,1678.6799193316047,0.008168147854040572,-1.392016883655627e-16,0.5339679705215419,223,1.0,1.0,3.0,9.0,35.0,-3.85172182450923,11,,,0.0,146,77
KXNBAGAME-25NOV03LALPOR-LAL,Sports,11.805870386515547,0.2295592812019742,2001.326649229875,0.011346416387872938,-4.9558342511602456e-17,0.5583399823498834,249,1.0,1.0,3.0,23.0,41.0,-4.458096237965742,2,,,0.0,136,113
KXNFLGAME-25NOV02KCBUF-KC,Sports,3.2600669386047483,0.06211100469544632,976.4711850224871,0.00220849625445409,-2.7943109365735557e-16,0.509060690943044,851,1.0,1.0,2.0,4.0,8.0,-2.25602453753351,4,,,0.0,502,349
KXNCAAFGAME-25NOV08BYUTTU-BYU,Sports,4.923089911355002,0.16310288554382807,756.7824398480371,0.007766141584505098,9.597875704653105e-18,0.5251821234823043,886,1.0,1.0,1.0,4.0,16.0,-2.755682709493174,14,,,0.0,530,356
KXNFLGAME-25SEP28LACNYG-LAC,Sports,7.860643377733099,0.14848435570644777,1240.9616737873837,0.001944488163706066,-1.2142977137895655e-16,0.528579679396511,842,1.0,1.0,1.0,2.0,4.0,-2.2630403661112837,3,,,0.0,512,330
KXATPMATCH-25OCT31MEDZVE-ZVE,Sports,4.557799442896936,0.11680679164339992,788.7221448467967,0.019351454346651017,1.7813049085907806e-16,0.5397232851473923,107,1.0,1.0,1.0,2.0,22.0,-2.3470294339916227,3,,,0.0,61,46
